gene	gene	class
ACP5	ACP5	1
ACTA2	ACTA2	1
ADAM15	ADAM15	1
ADAM8	ADAM8	1
ADAM9	ADAM9	1
AEBP1	AEBP1	1
AIF1	AIF1	1
AKT3	AKT3	1
ALDOA	ALDOA	1
ALOX5AP	ALOX5AP	1
ANXA1	ANXA1	1
ANXA4	ANXA4	1
ANXA5	ANXA5	1
AP2S1	AP2S1	1
AQP1	AQP1	1
ARF5	ARF5	1
ARHGDIB	ARHGDIB	1
ARPC1B	ARPC1B	1
ARPC2	ARPC2	1
ASAH1	ASAH1	1
ATP1B3	ATP1B3	1
ATP6AP1	ATP6AP1	1
ATP6V0B	ATP6V0B	1
ATP6V1B2	ATP6V1B2	1
ATP6V1F	ATP6V1F	1
BCL2A1	BCL2A1	1
BLVRA	BLVRA	1
C1QB	C1QB	1
C3AR1	C3AR1	1
CAPZA1	CAPZA1	1
CBFB	CBFB	1
CCL3	CCL3	1
CCL5	CCL5	1
CCND2	CCND2	1
CCR7	CCR7	1
CD151	CD151	1
CD37	CD37	1
CD3D	CD3D	1
CD47	CD47	1
CD48	CD48	1
CD53	CD53	1
CD74	CD74	1
CD8A	CD8A	1
CDC20	CDC20	1
CDC25B	CDC25B	1
CDH11	CDH11	1
CDK2AP1	CDK2AP1	1
CELF2	CELF2	1
CHN1	CHN1	1
COL11A1	COL11A1	1
COL15A1	COL15A1	1
COL1A2	COL1A2	1
COL3A1	COL3A1	1
COL4A1	COL4A1	1
COL4A2	COL4A2	1
COL5A2	COL5A2	1
COL6A1	COL6A1	1
COL6A2	COL6A2	1
CORO1A	CORO1A	1
CRABP2	CRABP2	1
CRIP2	CRIP2	1
CSRP3	CSRP3	1
CTGF	CTGF	1
CTSC	CTSC	1
CTSS	CTSS	1
CXCL1	CXCL1	1
CXCR4	CXCR4	1
CYBA	CYBA	1
CYBB	CYBB	1
CYFIP1	CYFIP1	1
CYP1B1	CYP1B1	1
CYR61	CYR61	1
DAB2	DAB2	1
DCTN2	DCTN2	1
DDR1	DDR1	1
DDR2	DDR2	1
DDX11	DDX11	1
DGKA	DGKA	1
DGKZ	DGKZ	1
DNM2	DNM2	1
DPYSL2	DPYSL2	1
DUSP5	DUSP5	1
DUT	DUT	1
EFEMP1	EFEMP1	1
EFNB1	EFNB1	1
F13A1	F13A1	1
FBN1	FBN1	1
FBRS	FBRS	1
FCGBP	FCGBP	1
FCGR2A	FCGR2A	1
FGL2	FGL2	1
FHL3	FHL3	1
FLNA	FLNA	1
FUT4	FUT4	1
FYB	FYB	1
GEM	GEM	1
GLIPR1	GLIPR1	1
GNAI2	GNAI2	1
GNS	GNS	1
GPNMB	GPNMB	1
GRN	GRN	1
GSTP1	GSTP1	1
GUCY1A3	GUCY1A3	1
GYPC	GYPC	1
HCLS1	HCLS1	1
HEXA	HEXA	1
HIF1A	HIF1A	1
HK1	HK1	1
HLA-DMA	HLA-DMA	1
HLA-DOA	HLA-DOA	1
HLA-DPB1	HLA-DPB1	1
HLA-DQA2	HLA-DQA2	1
HLA-DQB1	HLA-DQB1	1
ID3	ID3	1
IER3	IER3	1
IFI16	IFI16	1
IFI30	IFI30	1
IGFBP5	IGFBP5	1
IGH@	IGH@	1
IGKC	IGKC	1
IGLL1	IGLL1	1
IKBKE	IKBKE	1
IL15RA	IL15RA	1
IL2RB	IL2RB	1
IL2RG	IL2RG	1
IL7R	IL7R	1
IQGAP1	IQGAP1	1
IRF1	IRF1	1
ITGB2	ITGB2	1
ITPR3	ITPR3	1
PCLAF	PCLAF	1
KLC1	KLC1	1
KLF5	KLF5	1
LAMB1	LAMB1	1
LAPTM5	LAPTM5	1
LCP1	LCP1	1
LDHB	LDHB	1
LGALS1	LGALS1	1
LGALS3BP	LGALS3BP	1
LGALS9	LGALS9	1
LGMN	LGMN	1
LHFPL2	LHFPL2	1
LITAF	LITAF	1
LMO4	LMO4	1
LOX	LOX	1
LSP1	LSP1	1
LTBP2	LTBP2	1
LTBP3	LTBP3	1
LTF	LTF	1
LUM	LUM	1
LYN	LYN	1
M6PR	M6PR	1
MAP1B	MAP1B	1
ME1	ME1	1
MFAP1	MFAP1	1
MGP	MGP	1
MPHOSPH6	MPHOSPH6	1
MSN	MSN	1
MTHFD2	MTHFD2	1
MYCBP2	MYCBP2	1
NBL1	NBL1	1
NPC2	NPC2	1
NSMAF	NSMAF	1
OAZ1	OAZ1	1
PAK1	PAK1	1
PAM	PAM	1
PAPSS1	PAPSS1	1
PEA15	PEA15	1
PFN1	PFN1	1
PGK1	PGK1	1
PIM2	PIM2	1
PKD2	PKD2	1
PKMYT1	PKMYT1	1
PKN1	PKN1	1
PLAUR	PLAUR	1
PLD3	PLD3	1
PLP2	PLP2	1
PNP	PNP	1
POLD3	POLD3	1
POSTN	POSTN	1
PPIC	PPIC	1
PPP1CB	PPP1CB	1
PPP4C	PPP4C	1
PPP4R1	PPP4R1	1
PRKD2	PRKD2	1
PRMT5	PRMT5	1
PROCR	PROCR	1
PSMD2	PSMD2	1
PTPRC	PTPRC	1
PYGB	PYGB	1
QSOX1	QSOX1	1
RAB31	RAB31	1
RALB	RALB	1
RALGDS	RALGDS	1
RCC1	RCC1	1
RHOA	RHOA	1
RIN2	RIN2	1
RIT1	RIT1	1
RNASE1	RNASE1	1
RNASE6	RNASE6	1
RPA2	RPA2	1
RSU1	RSU1	1
S100A10	S100A10	1
S100A11	S100A11	1
S100A13	S100A13	1
SLA	SLA	1
SLBP	SLBP	1
SLC1A5	SLC1A5	1
SLC2A1	SLC2A1	1
SLC2A5	SLC2A5	1
SLC39A6	SLC39A6	1
SLC7A5	SLC7A5	1
SMAD2	SMAD2	1
SMARCD1	SMARCD1	1
SPAG8	SPAG8	1
SRGN	SRGN	1
SRI	SRI	1
STK38	STK38	1
STX3	STX3	1
TAGLN	TAGLN	1
TAX1BP3	TAX1BP3	1
TCF4	TCF4	1
TFF3	TFF3	1
THY1	THY1	1
TIMP2	TIMP2	1
TMSB4X	TMSB4X	1
TNFRSF1B	TNFRSF1B	1
TP53BP1	TP53BP1	1
TPM2	TPM2	1
TRAC	TRAC	1
TRAF3	TRAF3	1
TRAF5	TRAF5	1
TRIP10	TRIP10	1
TSPAN3	TSPAN3	1
TUBA4A	TUBA4A	1
VCAN	VCAN	1
ZNF384	ZNF384	1
ABCB10	ABCB10	2
ABCD3	ABCD3	2
ACP1	ACP1	2
ADD3	ADD3	2
AFP	AFP	2
AHCY	AHCY	2
ARHGAP35	ARHGAP35	2
ARID3A	ARID3A	2
ATF2	ATF2	2
ATM	ATM	2
ATP2B1	ATP2B1	2
ATP2B2	ATP2B2	2
ATP5F1	ATP5F1	2
ATXN10	ATXN10	2
BCAM	BCAM	2
BCLAF1	BCLAF1	2
BRD3	BRD3	2
BTG3	BTG3	2
NREP	NREP	2
CASC3	CASC3	2
CD46	CD46	2
CDK6	CDK6	2
CHKA	CHKA	2
CLK2	CLK2	2
COL2A1	COL2A1	2
CPD	CPD	2
CSE1L	CSE1L	2
CSNK2A1	CSNK2A1	2
CSNK2A2	CSNK2A2	2
CTNNB1	CTNNB1	2
CUL4A	CUL4A	2
CXADR	CXADR	2
DDX1	DDX1	2
DDX18	DDX18	2
DEK	DEK	2
EIF4A2	EIF4A2	2
EIF4B	EIF4B	2
ENPP1	ENPP1	2
EP300	EP300	2
ERBB3	ERBB3	2
FBL	FBL	2
FGFR3	FGFR3	2
FGFR4	FGFR4	2
FLNB	FLNB	2
GBF1	GBF1	2
GCN1	GCN1	2
GLUD1	GLUD1	2
GNAI1	GNAI1	2
GPC3	GPC3	2
GTF2I	GTF2I	2
GTF3C2	GTF3C2	2
H1F0	H1F0	2
HELZ	HELZ	2
HMGCR	HMGCR	2
HNRNPA2B1	HNRNPA2B1	2
HNRNPC	HNRNPC	2
HNRNPU	HNRNPU	2
IDI1	IDI1	2
IGF2	IGF2	2
IGF2R	IGF2R	2
ITIH2	ITIH2	2
KLF3	KLF3	2
LBR	LBR	2
MAPK6	MAPK6	2
MEST	MEST	2
NCOA4	NCOA4	2
NET1	NET1	2
