gene	gene	class
ABCA6	ABCA6	1
ABCC2	ABCC2	1
ABCG5	ABCG5	1
ABCG8	ABCG8	1
ABHD6	ABHD6	1
ACADS	ACADS	1
A1CF	A1CF	1
ACOX2	ACOX2	1
ACSL1	ACSL1	1
ACSL6	ACSL6	1
ACSM5	ACSM5	1
COQ8A	COQ8A	1
AGL	AGL	1
ALAS1	ALAS1	1
ALDH1L1	ALDH1L1	1
ALDH4A1	ALDH4A1	1
AMACR	AMACR	1
AMDHD1	AMDHD1	1
AMFR	AMFR	1
AMT	AMT	1
ANXA9	ANXA9	1
AOX1	AOX1	1
APCS	APCS	1
APOA5	APOA5	1
APOC3	APOC3	1
AQP9	AQP9	1
AR	AR	1
ASGR1	ASGR1	1
ATG16L1	ATG16L1	1
BAAT	BAAT	1
BDH1	BDH1	1
C1orf115	C1orf115	1
C1QTNF4	C1QTNF4	1
C2	C2	1
MIR1-1HG	MIR1-1HG	1
C4BPB	C4BPB	1
C6orf106	C6orf106	1
CABIN1	CABIN1	1
CAND2	CAND2	1
CCL16	CCL16	1
CDHR5	CDHR5	1
CDO1	CDO1	1
CES1	CES1	1
CES2	CES2	1
CES3	CES3	1
CFHR5	CFHR5	1
CGREF1	CGREF1	1
CLRN1	CLRN1	1
COBLL1	COBLL1	1
CPB2	CPB2	1
CPN2	CPN2	1
CPT2	CPT2	1
CRAT	CRAT	1
CRYL1	CRYL1	1
CSAG2	CSAG2	1
CUX2	CUX2	1
CYP2D6	CYP2D6	1
CYP2J2	CYP2J2	1
CYP3A4	CYP3A4	1
CYP4F11	CYP4F11	1
DCXR	DCXR	1
DENND5B	DENND5B	1
DEPDC7	DEPDC7	1
DIO1	DIO1	1
DPYS	DPYS	1
DSG1	DSG1	1
ECHDC2	ECHDC2	1
ECHS1	ECHS1	1
EGLN2	EGLN2	1
EHHADH	EHHADH	1
ENPP5	ENPP5	1
EPHX1	EPHX1	1
F10	F10	1
F12	F12	1
F13B	F13B	1
FAM134C	FAM134C	1
FAM169A	FAM169A	1
FBXO31	FBXO31	1
FLJ30679	FLJ30679	1
FMO3	FMO3	1
G6PC	G6PC	1
GJB1	GJB1	1
GLYAT	GLYAT	1
HAGH	HAGH	1
HAO1	HAO1	1
HGD	HGD	1
HPD	HPD	1
HSD17B10	HSD17B10	1
HSD17B6	HSD17B6	1
HYAL1	HYAL1	1
HYDIN2	HYDIN2	1
IL6R	IL6R	1
INSIG1	INSIG1	1
INSR	INSR	1
ITIH1	ITIH1	1
ITPR2	ITPR2	1
IVD	IVD	1
KHK	KHK	1
KIRREL2	KIRREL2	1
KLK3	KLK3	1
KNG1	KNG1	1
LDHAL6A	LDHAL6A	1
LEAP2	LEAP2	1
LOC149703	LOC149703	1
LOC158402	LOC158402	1
LPIN1	LPIN1	1
MAP4K1	MAP4K1	1
MASP2	MASP2	1
MLXIPL	MLXIPL	1
MOGAT1	MOGAT1	1
MORN1	MORN1	1
MPDZ	MPDZ	1
MRM1	MRM1	1
MRPL46	MRPL46	1
MSRA	MSRA	1
MST1	MST1	1
MTSS1	MTSS1	1
MVK	MVK	1
MYRIP	MYRIP	1
NDRG2	NDRG2	1
NDUFS2	NDUFS2	1
NECAB2	NECAB2	1
NF1	NF1	1
OGDHL	OGDHL	1
OTC	OTC	1
PAH	PAH	1
PARD3B	PARD3B	1
PC	PC	1
PCCB	PCCB	1
PCK1	PCK1	1
PCSK6	PCSK6	1
PCYT2	PCYT2	1
PHLPP1	PHLPP1	1
PINK1	PINK1	1
PIPOX	PIPOX	1
PKLR	PKLR	1
PLPP1	PLPP1	1
PRDX6	PRDX6	1
RBP5	RBP5	1
RDH5	RDH5	1
RGN	RGN	1
RHBG	RHBG	1
RPS2P45	RPS2P45	1
RRN3P1	RRN3P1	1
RUNDC3B	RUNDC3B	1
SALL1	SALL1	1
SEC14L2	SEC14L2	1
SELENBP1	SELENBP1	1
SEPT4	SEPT4	1
SERPINC1	SERPINC1	1
SERPIND1	SERPIND1	1
SERPINF1	SERPINF1	1
SERPING1	SERPING1	1
SGPL1	SGPL1	1
SLC22A18	SLC22A18	1
SLC25A10	SLC25A10	1
SLC27A5	SLC27A5	1
SLC2A2	SLC2A2	1
SLC35D1	SLC35D1	1
SLC38A3	SLC38A3	1
SLC6A12	SLC6A12	1
SPINK2	SPINK2	1
SRD5A1	SRD5A1	1
STARD10	STARD10	1
STK32B	STK32B	1
SULT2A1	SULT2A1	1
TACO1	TACO1	1
TMEM176B	TMEM176B	1
TMEM27	TMEM27	1
TRIM55	TRIM55	1
TSKU	TSKU	1
TTBK1	TTBK1	1
TTPA	TTPA	1
UGT1A6	UGT1A6	1
UGT2B15	UGT2B15	1
UGT2B4	UGT2B4	1
UGT3A1	UGT3A1	1
UNKL	UNKL	1
