gene	gene	class
AACS	AACS	1
ABI2	ABI2	1
ADAM9	ADAM9	1
ALDOA	ALDOA	1
ALYREF	ALYREF	1
ANLN	ANLN	1
ANXA5	ANXA5	1
ARHGAP11A	ARHGAP11A	1
ARHGAP11B	ARHGAP11B	1
ARMC9	ARMC9	1
ATAD5	ATAD5	1
ATP1A1	ATP1A1	1
ATP1B3	ATP1B3	1
B3GALNT1	B3GALNT1	1
BARD1	BARD1	1
BBX	BBX	1
BICD1	BICD1	1
BIRC5	BIRC5	1
BLM	BLM	1
BORA	BORA	1
BUB1	BUB1	1
C12orf75	C12orf75	1
TICRR	TICRR	1
C17orf62	C17orf62	1
CASP2	CASP2	1
CCNA2	CCNA2	1
CCNB2	CCNB2	1
ADGRE5	ADGRE5	1
CDC25A	CDC25A	1
CDC6	CDC6	1
CDCA2	CDCA2	1
CENPI	CENPI	1
CENPO	CENPO	1
CERS5	CERS5	1
CHAF1B	CHAF1B	1
CLIC1	CLIC1	1
CLSPN	CLSPN	1
CLSTN1	CLSTN1	1
CTSC	CTSC	1
CUEDC1	CUEDC1	1
CYBA	CYBA	1
DCAF7	DCAF7	1
DENND2D	DENND2D	1
DIAPH3	DIAPH3	1
DLG3	DLG3	1
DLGAP5	DLGAP5	1
ECT2	ECT2	1
ELF4	ELF4	1
EME1	EME1	1
FAM57A	FAM57A	1
FAM72B	FAM72B	1
FAM72D	FAM72D	1
FANCA	FANCA	1
FANCD2	FANCD2	1
FANCI	FANCI	1
FMNL2	FMNL2	1
FOXM1	FOXM1	1
GAS2L3	GAS2L3	1
GCA	GCA	1
GINS1	GINS1	1
GIT1	GIT1	1
GPD2	GPD2	1
GRB2	GRB2	1
GSG2	GSG2	1
H3F3B	H3F3B	1
HDAC1	HDAC1	1
HIF1A	HIF1A	1
HIST1H2AB	HIST1H2AB	1
HIST1H2AE	HIST1H2AE	1
HIST1H2AH	HIST1H2AH	1
HIST1H2BD	HIST1H2BD	1
HIST1H2BF	HIST1H2BF	1
HIST1H2BG	HIST1H2BG	1
HIST1H2BH	HIST1H2BH	1
HIST1H2BJ	HIST1H2BJ	1
HIST1H3A	HIST1H3A	1
