gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CBX3	915230	445	43	99045	22791	0	26	0	0	50	81	4615781	0	0
POMZP3	846738	301	66	98548	26909	0	28	0	0	50	56	4165144	0	0
ZP3	870785	220	59	214633	63758	0	20	2	0	50	71	3804322	0	0
PNRC2	NaN	NaN	NaN	72349	17963	0	27	0	0	50	158	7924807	2.220446e-16	1.047051e-12
RPS15	2352825	221	38	74763	21939	0	26	0	0	50	72	3655648	1.554312e-15	5.863487e-12
CBL	1172813	183	53	459796	132557	0	43	1	0	13	19	1492704	1.887379e-15	5.933291e-12
RAMP2	1633092	190	33	89389	26057	0	16	1	0	13	14	751464	2.251532e-13	6.066915e-10
ZNF556	1287128	291	27	234371	60634	0	20	1	0	6	10	614008	4.118483e-12	9.710354e-09
ZNF418	1252385	750	-19	347829	87330	0	17	1	0	50	61	4768644	4.506673e-11	9.444985e-08
HTATIP2	168576	547	-6	157975	46505	0	17	1	0	50	79	3999075	7.900613e-11	1.490214e-07
SAA2	601955	371	17	67876	18389	0	17	0	0	50	54	4257160	9.895318e-11	1.696777e-07
OR8B2	149616	857	0	154851	45582	0	23	1	0	30	33	2550675	9.963724e-10	1.566131e-06
ZIC2	323784	500	35	261422	80869	0	18	2	0	50	50	3536368	4.856174e-09	7.045935e-06
AK2	807536	233	27	125102	34861	0	12	0	0	32	59	2967445	9.024660e-08	1.215880e-04
TATDN3	331599	445	22	148532	39760	0	14	0	0	50	103	5945256	1.456832e-07	1.831918e-04
EXT1	190467	586	18	384181	101672	0	42	7	0	18	23	1038020	1.896287e-07	2.235485e-04
DGKZ	811789	212	44	642692	192907	0	26	3	0	14	14	1311867	2.173657e-07	2.411736e-04
TMEM67	234269	416	15	549043	141077	0	28	2	0	9	6	930526	2.398506e-07	2.427830e-04
DDX11	335562	591	-4	516525	127161	0	30	5	0	50	71	3121373	2.445593e-07	2.427830e-04
C1orf112	212980	614	8	447087	117789	0	23	2	0	50	64	4464125	3.661055e-07	3.452741e-04
DBT	314135	495	9	249423	68160	0	13	0	0	45	56	3834781	4.610659e-07	4.141250e-04
HSP90AA1	1488666	145	41	443892	111825	0	19	0	0	2	2	352941	4.889559e-07	4.192130e-04
OXSR1	301294	386	31	277326	74550	0	13	1	0	50	52	4423158	5.332240e-07	4.327645e-04
PTPN4	346126	446	25	490326	124179	0	16	2	0	50	75	5289358	5.506493e-07	4.327645e-04
