ENSG00000000005.5|TNMD	ENSG00000000005.5	TNMD
ENSG00000000971.15|CFH	ENSG00000000971.15	CFH
ENSG00000001626.14|CFTR	ENSG00000001626.14	CFTR
ENSG00000001630.15|CYP51A1	ENSG00000001630.15	CYP51A1
ENSG00000003989.17|SLC7A2	ENSG00000003989.17	SLC7A2
ENSG00000004468.12|CD38	ENSG00000004468.12	CD38
ENSG00000004776.12|HSPB6	ENSG00000004776.12	HSPB6
ENSG00000004799.7|PDK4	ENSG00000004799.7	PDK4
ENSG00000004809.13|SLC22A16	ENSG00000004809.13	SLC22A16
ENSG00000004846.16|ABCB5	ENSG00000004846.16	ABCB5
ENSG00000004939.13|SLC4A1	ENSG00000004939.13	SLC4A1
ENSG00000004948.13|CALCR	ENSG00000004948.13	CALCR
ENSG00000005187.11|ACSM3	ENSG00000005187.11	ACSM3
ENSG00000005249.12|PRKAR2B	ENSG00000005249.12	PRKAR2B
ENSG00000005381.7|MPO	ENSG00000005381.7	MPO
ENSG00000005421.8|PON1	ENSG00000005421.8	PON1
ENSG00000005471.15|ABCB4	ENSG00000005471.15	ABCB4
ENSG00000005513.9|SOX8	ENSG00000005513.9	SOX8
ENSG00000006283.17|CACNA1G	ENSG00000006283.17	CACNA1G
ENSG00000006606.8|CCL26	ENSG00000006606.8	CCL26
ENSG00000006611.15|USH1C	ENSG00000006611.15	USH1C
ENSG00000006747.14|SCIN	ENSG00000006747.14	SCIN
ENSG00000007001.12|UPP2	ENSG00000007001.12	UPP2
ENSG00000007062.11|PROM1	ENSG00000007062.11	PROM1
ENSG00000007129.17|CEACAM21	ENSG00000007129.17	CEACAM21
ENSG00000007171.16|NOS2	ENSG00000007171.16	NOS2
ENSG00000007174.17|DNAH9	ENSG00000007174.17	DNAH9
ENSG00000007216.14|SLC13A2	ENSG00000007216.14	SLC13A2
ENSG00000007314.12|SCN4A	ENSG00000007314.12	SCN4A
ENSG00000007908.15|SELE	ENSG00000007908.15	SELE
ENSG00000007933.12|FMO3	ENSG00000007933.12	FMO3
ENSG00000008277.14|ADAM22	ENSG00000008277.14	ADAM22
ENSG00000008300.16|CELSR3	ENSG00000008300.16	CELSR3
ENSG00000008311.14|AASS	ENSG00000008311.14	AASS
ENSG00000008323.15|PLEKHG6	ENSG00000008323.15	PLEKHG6
ENSG00000008735.13|MAPK8IP2	ENSG00000008735.13	MAPK8IP2
ENSG00000009694.13|TENM1	ENSG00000009694.13	TENM1
ENSG00000009724.16|MASP2	ENSG00000009724.16	MASP2
ENSG00000009765.14|IYD	ENSG00000009765.14	IYD
ENSG00000010310.8|GIPR	ENSG00000010310.8	GIPR
ENSG00000010379.15|SLC6A13	ENSG00000010379.15	SLC6A13
ENSG00000011028.13|MRC2	ENSG00000011028.13	MRC2
ENSG00000011347.9|SYT7	ENSG00000011347.9	SYT7
ENSG00000011426.10|ANLN	ENSG00000011426.10	ANLN
ENSG00000011465.16|DCN	ENSG00000011465.16	DCN
ENSG00000011677.12|GABRA3	ENSG00000011677.12	GABRA3
ENSG00000012124.16|CD22	ENSG00000012124.16	CD22
ENSG00000012779.10|ALOX5	ENSG00000012779.10	ALOX5
ENSG00000013293.5|SLC7A14	ENSG00000013293.5	SLC7A14
ENSG00000013297.10|CLDN11	ENSG00000013297.10	CLDN11
ENSG00000013725.14|CD6	ENSG00000013725.14	CD6
ENSG00000015133.18|CCDC88C	ENSG00000015133.18	CCDC88C
ENSG00000015520.14|NPC1L1	ENSG00000015520.14	NPC1L1
ENSG00000017427.15|IGF1	ENSG00000017427.15	IGF1
ENSG00000018236.14|CNTN1	ENSG00000018236.14	CNTN1
ENSG00000019169.10|MARCO	ENSG00000019169.10	MARCO
ENSG00000019505.7|SYT13	ENSG00000019505.7	SYT13
ENSG00000019991.15|HGF	ENSG00000019991.15	HGF
ENSG00000020633.18|RUNX3	ENSG00000020633.18	RUNX3
ENSG00000021461.16|CYP3A43	ENSG00000021461.16	CYP3A43
ENSG00000021762.19|OSBPL5	ENSG00000021762.19	OSBPL5
ENSG00000021826.14|CPS1	ENSG00000021826.14	CPS1
ENSG00000021852.12|C8B	ENSG00000021852.12	C8B
ENSG00000023892.10|DEF6	ENSG00000023892.10	DEF6
ENSG00000024526.16|DEPDC1	ENSG00000024526.16	DEPDC1
ENSG00000025423.11|HSD17B6	ENSG00000025423.11	HSD17B6
ENSG00000026652.13|AGPAT4	ENSG00000026652.13	AGPAT4
ENSG00000026751.16|SLAMF7	ENSG00000026751.16	SLAMF7
ENSG00000027644.4|INSRR	ENSG00000027644.4	INSRR
ENSG00000027869.11|SH2D2A	ENSG00000027869.11	SH2D2A
ENSG00000029559.6|IBSP	ENSG00000029559.6	IBSP
ENSG00000030304.13|MUSK	ENSG00000030304.13	MUSK
ENSG00000033122.18|LRRC7	ENSG00000033122.18	LRRC7
ENSG00000034053.14|APBA2	ENSG00000034053.14	APBA2
ENSG00000034239.10|EFCAB1	ENSG00000034239.10	EFCAB1
ENSG00000035720.7|STAP1	ENSG00000035720.7	STAP1
ENSG00000036448.9|MYOM2	ENSG00000036448.9	MYOM2
ENSG00000036473.6|OTC	ENSG00000036473.6	OTC
ENSG00000036828.15|CASR	ENSG00000036828.15	CASR
ENSG00000038427.15|VCAN	ENSG00000038427.15	VCAN
ENSG00000039139.9|DNAH5	ENSG00000039139.9	DNAH5
ENSG00000039537.13|C6	ENSG00000039537.13	C6
ENSG00000039987.6|BEST2	ENSG00000039987.6	BEST2
ENSG00000040608.13|RTN4R	ENSG00000040608.13	RTN4R
ENSG00000041515.15|MYO16	ENSG00000041515.15	MYO16
ENSG00000042062.11|FAM65C	ENSG00000042062.11	FAM65C
ENSG00000042493.15|CAPG	ENSG00000042493.15	CAPG
ENSG00000042781.12|USH2A	ENSG00000042781.12	USH2A
ENSG00000043355.11|ZIC2	ENSG00000043355.11	ZIC2
ENSG00000043462.11|LCP2	ENSG00000043462.11	LCP2
ENSG00000043591.5|ADRB1	ENSG00000043591.5	ADRB1
ENSG00000044524.10|EPHA3	ENSG00000044524.10	EPHA3
ENSG00000046774.9|MAGEC2	ENSG00000046774.9	MAGEC2
ENSG00000047457.13|CP	ENSG00000047457.13	CP
ENSG00000048052.21|HDAC9	ENSG00000048052.21	HDAC9
ENSG00000048740.18|CELF2	ENSG00000048740.18	CELF2
ENSG00000049192.14|ADAMTS6	ENSG00000049192.14	ADAMTS6
