ENSG00000000005.5|TNMD	ENSG00000000005.5	TNMD
ENSG00000000938.12|FGR	ENSG00000000938.12	FGR
ENSG00000000971.15|CFH	ENSG00000000971.15	CFH
ENSG00000001036.13|FUCA2	ENSG00000001036.13	FUCA2
ENSG00000001084.10|GCLC	ENSG00000001084.10	GCLC
ENSG00000001626.14|CFTR	ENSG00000001626.14	CFTR
ENSG00000001630.15|CYP51A1	ENSG00000001630.15	CYP51A1
ENSG00000002079.13|MYH16	ENSG00000002079.13	MYH16
ENSG00000002587.9|HS3ST1	ENSG00000002587.9	HS3ST1
ENSG00000002933.7|TMEM176A	ENSG00000002933.7	TMEM176A
ENSG00000003249.13|DBNDD1	ENSG00000003249.13	DBNDD1
ENSG00000003436.15|TFPI	ENSG00000003436.15	TFPI
ENSG00000003989.17|SLC7A2	ENSG00000003989.17	SLC7A2
ENSG00000004468.12|CD38	ENSG00000004468.12	CD38
ENSG00000004776.12|HSPB6	ENSG00000004776.12	HSPB6
ENSG00000004799.7|PDK4	ENSG00000004799.7	PDK4
ENSG00000004809.13|SLC22A16	ENSG00000004809.13	SLC22A16
ENSG00000004838.13|ZMYND10	ENSG00000004838.13	ZMYND10
ENSG00000004846.16|ABCB5	ENSG00000004846.16	ABCB5
ENSG00000004864.13|SLC25A13	ENSG00000004864.13	SLC25A13
ENSG00000004939.13|SLC4A1	ENSG00000004939.13	SLC4A1
ENSG00000004948.13|CALCR	ENSG00000004948.13	CALCR
ENSG00000005187.11|ACSM3	ENSG00000005187.11	ACSM3
ENSG00000005249.12|PRKAR2B	ENSG00000005249.12	PRKAR2B
ENSG00000005379.15|TSPOAP1	ENSG00000005379.15	TSPOAP1
ENSG00000005381.7|MPO	ENSG00000005381.7	MPO
ENSG00000005421.8|PON1	ENSG00000005421.8	PON1
ENSG00000005448.16|WDR54	ENSG00000005448.16	WDR54
ENSG00000005471.15|ABCB4	ENSG00000005471.15	ABCB4
ENSG00000005513.9|SOX8	ENSG00000005513.9	SOX8
ENSG00000005844.17|ITGAL	ENSG00000005844.17	ITGAL
ENSG00000005882.11|PDK2	ENSG00000005882.11	PDK2
ENSG00000006118.14|TMEM132A	ENSG00000006118.14	TMEM132A
ENSG00000006283.17|CACNA1G	ENSG00000006283.17	CACNA1G
ENSG00000006606.8|CCL26	ENSG00000006606.8	CCL26
ENSG00000006611.15|USH1C	ENSG00000006611.15	USH1C
ENSG00000006638.11|TBXA2R	ENSG00000006638.11	TBXA2R
ENSG00000006747.14|SCIN	ENSG00000006747.14	SCIN
ENSG00000006756.15|ARSD	ENSG00000006756.15	ARSD
ENSG00000006757.11|PNPLA4	ENSG00000006757.11	PNPLA4
ENSG00000007001.12|UPP2	ENSG00000007001.12	UPP2
ENSG00000007062.11|PROM1	ENSG00000007062.11	PROM1
ENSG00000007129.17|CEACAM21	ENSG00000007129.17	CEACAM21
ENSG00000007171.16|NOS2	ENSG00000007171.16	NOS2
ENSG00000007174.17|DNAH9	ENSG00000007174.17	DNAH9
ENSG00000007216.14|SLC13A2	ENSG00000007216.14	SLC13A2
ENSG00000007264.14|MATK	ENSG00000007264.14	MATK
ENSG00000007312.12|CD79B	ENSG00000007312.12	CD79B
ENSG00000007314.12|SCN4A	ENSG00000007314.12	SCN4A
ENSG00000007372.21|PAX6	ENSG00000007372.21	PAX6
ENSG00000007516.13|BAIAP3	ENSG00000007516.13	BAIAP3
ENSG00000007908.15|SELE	ENSG00000007908.15	SELE
ENSG00000007933.12|FMO3	ENSG00000007933.12	FMO3
ENSG00000007968.6|E2F2	ENSG00000007968.6	E2F2
ENSG00000008277.14|ADAM22	ENSG00000008277.14	ADAM22
ENSG00000008300.16|CELSR3	ENSG00000008300.16	CELSR3
ENSG00000008311.14|AASS	ENSG00000008311.14	AASS
ENSG00000008323.15|PLEKHG6	ENSG00000008323.15	PLEKHG6
ENSG00000008394.12|MGST1	ENSG00000008394.12	MGST1
ENSG00000008516.16|MMP25	ENSG00000008516.16	MMP25
ENSG00000008517.16|IL32	ENSG00000008517.16	IL32
ENSG00000008735.13|MAPK8IP2	ENSG00000008735.13	MAPK8IP2
ENSG00000009694.13|TENM1	ENSG00000009694.13	TENM1
ENSG00000009724.16|MASP2	ENSG00000009724.16	MASP2
ENSG00000009765.14|IYD	ENSG00000009765.14	IYD
ENSG00000009790.14|TRAF3IP3	ENSG00000009790.14	TRAF3IP3
ENSG00000009950.15|MLXIPL	ENSG00000009950.15	MLXIPL
ENSG00000010278.12|CD9	ENSG00000010278.12	CD9
ENSG00000010310.8|GIPR	ENSG00000010310.8	GIPR
ENSG00000010327.10|STAB1	ENSG00000010327.10	STAB1
ENSG00000010361.13|FUZ	ENSG00000010361.13	FUZ
ENSG00000010379.15|SLC6A13	ENSG00000010379.15	SLC6A13
ENSG00000010610.9|CD4	ENSG00000010610.9	CD4
ENSG00000010671.15|BTK	ENSG00000010671.15	BTK
ENSG00000010810.17|FYN	ENSG00000010810.17	FYN
ENSG00000011028.13|MRC2	ENSG00000011028.13	MRC2
ENSG00000011332.19|DPF1	ENSG00000011332.19	DPF1
ENSG00000011347.9|SYT7	ENSG00000011347.9	SYT7
ENSG00000011426.10|ANLN	ENSG00000011426.10	ANLN
ENSG00000011465.16|DCN	ENSG00000011465.16	DCN
ENSG00000011600.11|TYROBP	ENSG00000011600.11	TYROBP
ENSG00000011677.12|GABRA3	ENSG00000011677.12	GABRA3
ENSG00000012048.20|BRCA1	ENSG00000012048.20	BRCA1
ENSG00000012124.16|CD22	ENSG00000012124.16	CD22
ENSG00000012223.12|LTF	ENSG00000012223.12	LTF
ENSG00000012779.10|ALOX5	ENSG00000012779.10	ALOX5
ENSG00000013016.15|EHD3	ENSG00000013016.15	EHD3
ENSG00000013293.5|SLC7A14	ENSG00000013293.5	SLC7A14
ENSG00000013297.10|CLDN11	ENSG00000013297.10	CLDN11
ENSG00000013573.16|DDX11	ENSG00000013573.16	DDX11
ENSG00000013725.14|CD6	ENSG00000013725.14	CD6
ENSG00000013810.18|TACC3	ENSG00000013810.18	TACC3
ENSG00000014914.20|MTMR11	ENSG00000014914.20	MTMR11
ENSG00000015133.18|CCDC88C	ENSG00000015133.18	CCDC88C
ENSG00000015285.10|WAS	ENSG00000015285.10	WAS
ENSG00000015520.14|NPC1L1	ENSG00000015520.14	NPC1L1
ENSG00000016391.10|CHDH	ENSG00000016391.10	CHDH
ENSG00000017427.15|IGF1	ENSG00000017427.15	IGF1
ENSG00000018236.14|CNTN1	ENSG00000018236.14	CNTN1
ENSG00000018869.16|ZNF582	ENSG00000018869.16	ZNF582
ENSG00000019102.11|VSIG2	ENSG00000019102.11	VSIG2
ENSG00000019169.10|MARCO	ENSG00000019169.10	MARCO
ENSG00000019505.7|SYT13	ENSG00000019505.7	SYT13
ENSG00000019991.15|HGF	ENSG00000019991.15	HGF
ENSG00000020181.17|ADGRA2	ENSG00000020181.17	ADGRA2
ENSG00000020219.9|CCT8L1P	ENSG00000020219.9	CCT8L1P
ENSG00000020633.18|RUNX3	ENSG00000020633.18	RUNX3
ENSG00000021300.13|PLEKHB1	ENSG00000021300.13	PLEKHB1
ENSG00000021461.16|CYP3A43	ENSG00000021461.16	CYP3A43
ENSG00000021488.12|SLC7A9	ENSG00000021488.12	SLC7A9
ENSG00000021762.19|OSBPL5	ENSG00000021762.19	OSBPL5
ENSG00000021826.14|CPS1	ENSG00000021826.14	CPS1
ENSG00000021852.12|C8B	ENSG00000021852.12	C8B
ENSG00000022267.16|FHL1	ENSG00000022267.16	FHL1
ENSG00000022567.9|SLC45A4	ENSG00000022567.9	SLC45A4
ENSG00000023330.14|ALAS1	ENSG00000023330.14	ALAS1
ENSG00000023572.8|GLRX2	ENSG00000023572.8	GLRX2
ENSG00000023839.10|ABCC2	ENSG00000023839.10	ABCC2
ENSG00000023892.10|DEF6	ENSG00000023892.10	DEF6
ENSG00000024526.16|DEPDC1	ENSG00000024526.16	DEPDC1
ENSG00000025039.14|RRAGD	ENSG00000025039.14	RRAGD
ENSG00000025423.11|HSD17B6	ENSG00000025423.11	HSD17B6
ENSG00000026103.21|FAS	ENSG00000026103.21	FAS
ENSG00000026652.13|AGPAT4	ENSG00000026652.13	AGPAT4
ENSG00000026751.16|SLAMF7	ENSG00000026751.16	SLAMF7
ENSG00000027075.14|PRKCH	ENSG00000027075.14	PRKCH
ENSG00000027644.4|INSRR	ENSG00000027644.4	INSRR
ENSG00000027869.11|SH2D2A	ENSG00000027869.11	SH2D2A
ENSG00000028137.18|TNFRSF1B	ENSG00000028137.18	TNFRSF1B
ENSG00000028277.21|POU2F2	ENSG00000028277.21	POU2F2
ENSG00000029153.14|ARNTL2	ENSG00000029153.14	ARNTL2
ENSG00000029559.6|IBSP	ENSG00000029559.6	IBSP
