ENSG00000001626.14|CFTR	ENSG00000001626.14	CFTR
ENSG00000004846.16|ABCB5	ENSG00000004846.16	ABCB5
ENSG00000004948.13|CALCR	ENSG00000004948.13	CALCR
ENSG00000006283.17|CACNA1G	ENSG00000006283.17	CACNA1G
ENSG00000006611.15|USH1C	ENSG00000006611.15	USH1C
ENSG00000006747.14|SCIN	ENSG00000006747.14	SCIN
ENSG00000007001.12|UPP2	ENSG00000007001.12	UPP2
ENSG00000007062.11|PROM1	ENSG00000007062.11	PROM1
ENSG00000007216.14|SLC13A2	ENSG00000007216.14	SLC13A2
ENSG00000009694.13|TENM1	ENSG00000009694.13	TENM1
ENSG00000009765.14|IYD	ENSG00000009765.14	IYD
ENSG00000011347.9|SYT7	ENSG00000011347.9	SYT7
ENSG00000011465.16|DCN	ENSG00000011465.16	DCN
ENSG00000015520.14|NPC1L1	ENSG00000015520.14	NPC1L1
ENSG00000019169.10|MARCO	ENSG00000019169.10	MARCO
ENSG00000021461.16|CYP3A43	ENSG00000021461.16	CYP3A43
ENSG00000021826.14|CPS1	ENSG00000021826.14	CPS1
ENSG00000027644.4|INSRR	ENSG00000027644.4	INSRR
ENSG00000027869.11|SH2D2A	ENSG00000027869.11	SH2D2A
ENSG00000030304.13|MUSK	ENSG00000030304.13	MUSK
ENSG00000036473.6|OTC	ENSG00000036473.6	OTC
ENSG00000038427.15|VCAN	ENSG00000038427.15	VCAN
ENSG00000039537.13|C6	ENSG00000039537.13	C6
ENSG00000043355.11|ZIC2	ENSG00000043355.11	ZIC2
ENSG00000050030.13|KIAA2022	ENSG00000050030.13	KIAA2022
ENSG00000050730.15|TNIP3	ENSG00000050730.15	TNIP3
ENSG00000052344.15|PRSS8	ENSG00000052344.15	PRSS8
ENSG00000053108.16|FSTL4	ENSG00000053108.16	FSTL4
ENSG00000058085.14|LAMC2	ENSG00000058085.14	LAMC2
ENSG00000058404.19|CAMK2B	ENSG00000058404.19	CAMK2B
ENSG00000060718.20|COL11A1	ENSG00000060718.20	COL11A1
ENSG00000064205.10|WISP2	ENSG00000064205.10	WISP2
ENSG00000065325.12|GLP2R	ENSG00000065325.12	GLP2R
ENSG00000066468.22|FGFR2	ENSG00000066468.22	FGFR2
ENSG00000068366.19|ACSL4	ENSG00000068366.19	ACSL4
ENSG00000068781.21|STON1-GTF2A1L	ENSG00000068781.21	STON1-GTF2A1L
ENSG00000069011.15|PITX1	ENSG00000069011.15	PITX1
ENSG00000070190.12|DAPP1	ENSG00000070190.12	DAPP1
ENSG00000070601.9|FRMPD1	ENSG00000070601.9	FRMPD1
ENSG00000070808.15|CAMK2A	ENSG00000070808.15	CAMK2A
ENSG00000071991.8|CDH19	ENSG00000071991.8	CDH19
ENSG00000072080.10|SPP2	ENSG00000072080.10	SPP2
ENSG00000072133.10|RPS6KA6	ENSG00000072133.10	RPS6KA6
ENSG00000073734.8|ABCB11	ENSG00000073734.8	ABCB11
ENSG00000073754.5|CD5L	ENSG00000073754.5	CD5L
ENSG00000073756.11|PTGS2	ENSG00000073756.11	PTGS2
ENSG00000073792.15|IGF2BP2	ENSG00000073792.15	IGF2BP2
ENSG00000074047.21|GLI2	ENSG00000074047.21	GLI2
ENSG00000074211.13|PPP2R2C	ENSG00000074211.13	PPP2R2C
ENSG00000074276.10|CDHR2	ENSG00000074276.10	CDHR2
ENSG00000074370.17|ATP2A3	ENSG00000074370.17	ATP2A3
ENSG00000074410.13|CA12	ENSG00000074410.13	CA12
ENSG00000077063.10|CTTNBP2	ENSG00000077063.10	CTTNBP2
ENSG00000077274.8|CAPN6	ENSG00000077274.8	CAPN6
ENSG00000077279.18|DCX	ENSG00000077279.18	DCX
ENSG00000078114.18|NEBL	ENSG00000078114.18	NEBL
ENSG00000078328.19|RBFOX1	ENSG00000078328.19	RBFOX1
ENSG00000078399.17|HOXA9	ENSG00000078399.17	HOXA9
ENSG00000078589.12|P2RY10	ENSG00000078589.12	P2RY10
ENSG00000079263.18|SP140	ENSG00000079263.18	SP140
ENSG00000079557.4|AFM	ENSG00000079557.4	AFM
ENSG00000079689.13|SCGN	ENSG00000079689.13	SCGN
ENSG00000081277.12|PKP1	ENSG00000081277.12	PKP1
ENSG00000083454.21|P2RX5	ENSG00000083454.21	P2RX5
ENSG00000083807.9|SLC27A5	ENSG00000083807.9	SLC27A5
ENSG00000084110.10|HAL	ENSG00000084110.10	HAL
ENSG00000085552.16|IGSF9	ENSG00000085552.16	IGSF9
ENSG00000085741.12|WNT11	ENSG00000085741.12	WNT11
ENSG00000089012.14|SIRPG	ENSG00000089012.14	SIRPG
ENSG00000090382.6|LYZ	ENSG00000090382.6	LYZ
ENSG00000090512.11|FETUB	ENSG00000090512.11	FETUB
ENSG00000091129.19|NRCAM	ENSG00000091129.19	NRCAM
ENSG00000091138.12|SLC26A3	ENSG00000091138.12	SLC26A3
ENSG00000091181.19|IL5RA	ENSG00000091181.19	IL5RA
ENSG00000091482.5|SMPX	ENSG00000091482.5	SMPX
ENSG00000093134.14|VNN3	ENSG00000093134.14	VNN3
ENSG00000094755.16|GABRP	ENSG00000094755.16	GABRP
ENSG00000095596.11|CYP26A1	ENSG00000095596.11	CYP26A1
ENSG00000095713.13|CRTAC1	ENSG00000095713.13	CRTAC1
ENSG00000095932.6|SMIM24	ENSG00000095932.6	SMIM24
ENSG00000096088.16|PGC	ENSG00000096088.16	PGC
ENSG00000099869.7|IGF2-AS	ENSG00000099869.7	IGF2-AS
ENSG00000099984.11|GSTT2	ENSG00000099984.11	GSTT2
ENSG00000100012.11|SEC14L3	ENSG00000100012.11	SEC14L3
ENSG00000100033.16|PRODH	ENSG00000100033.16	PRODH
ENSG00000100095.18|SEZ6L	ENSG00000100095.18	SEZ6L
ENSG00000100170.9|SLC5A1	ENSG00000100170.9	SLC5A1
ENSG00000100625.8|SIX4	ENSG00000100625.8	SIX4
ENSG00000100652.4|SLC10A1	ENSG00000100652.4	SLC10A1
ENSG00000100985.7|MMP9	ENSG00000100985.7	MMP9
ENSG00000101057.15|MYBL2	ENSG00000101057.15	MYBL2
ENSG00000101187.15|SLCO4A1	ENSG00000101187.15	SLCO4A1
ENSG00000101188.4|NTSR1	ENSG00000101188.4	NTSR1
ENSG00000101197.12|BIRC7	ENSG00000101197.12	BIRC7
ENSG00000101204.16|CHRNA4	ENSG00000101204.16	CHRNA4
ENSG00000101210.10|EEF1A2	ENSG00000101210.10	EEF1A2
ENSG00000101282.8|RSPO4	ENSG00000101282.8	RSPO4
ENSG00000101311.15|FERMT1	ENSG00000101311.15	FERMT1
ENSG00000101443.17|WFDC2	ENSG00000101443.17	WFDC2
ENSG00000101938.14|CHRDL1	ENSG00000101938.14	CHRDL1
ENSG00000101981.10|F9	ENSG00000101981.10	F9
ENSG00000102452.15|NALCN	ENSG00000102452.15	NALCN
ENSG00000103154.9|NECAB2	ENSG00000103154.9	NECAB2
ENSG00000103316.10|CRYM	ENSG00000103316.10	CRYM
ENSG00000103522.15|IL21R	ENSG00000103522.15	IL21R
ENSG00000103569.9|AQP9	ENSG00000103569.9	AQP9
ENSG00000103742.11|IGDCC4	ENSG00000103742.11	IGDCC4
ENSG00000104059.4|FAM189A1	ENSG00000104059.4	FAM189A1
ENSG00000104369.4|JPH1	ENSG00000104369.4	JPH1
ENSG00000104371.4|DKK4	ENSG00000104371.4	DKK4
ENSG00000104537.16|ANXA13	ENSG00000104537.16	ANXA13
ENSG00000105289.14|TJP3	ENSG00000105289.14	TJP3
ENSG00000105369.9|CD79A	ENSG00000105369.9	CD79A
ENSG00000105398.3|SULT2A1	ENSG00000105398.3	SULT2A1
ENSG00000105426.16|PTPRS	ENSG00000105426.16	PTPRS
ENSG00000105492.15|SIGLEC6	ENSG00000105492.15	SIGLEC6
ENSG00000105501.12|SIGLEC5	ENSG00000105501.12	SIGLEC5
ENSG00000105509.10|HAS1	ENSG00000105509.10	HAS1
ENSG00000105523.3|FAM83E	ENSG00000105523.3	FAM83E
ENSG00000105664.10|COMP	ENSG00000105664.10	COMP
ENSG00000105697.7|HAMP	ENSG00000105697.7	HAMP
ENSG00000105717.13|PBX4	ENSG00000105717.13	PBX4
ENSG00000105855.9|ITGB8	ENSG00000105855.9	ITGB8
ENSG00000106006.6|HOXA6	ENSG00000106006.6	HOXA6
ENSG00000106031.7|HOXA13	ENSG00000106031.7	HOXA13
ENSG00000106128.18|GHRHR	ENSG00000106128.18	GHRHR
ENSG00000106236.3|NPTX2	ENSG00000106236.3	NPTX2
ENSG00000106333.12|PCOLCE	ENSG00000106333.12	PCOLCE
ENSG00000106536.19|POU6F2	ENSG00000106536.19	POU6F2
ENSG00000106624.10|AEBP1	ENSG00000106624.10	AEBP1
