ENSG00000001626.14|CFTR	ENSG00000001626.14	CFTR
ENSG00000003989.17|SLC7A2	ENSG00000003989.17	SLC7A2
ENSG00000004468.12|CD38	ENSG00000004468.12	CD38
ENSG00000004799.7|PDK4	ENSG00000004799.7	PDK4
ENSG00000004846.16|ABCB5	ENSG00000004846.16	ABCB5
ENSG00000004948.13|CALCR	ENSG00000004948.13	CALCR
ENSG00000005471.15|ABCB4	ENSG00000005471.15	ABCB4
ENSG00000005513.9|SOX8	ENSG00000005513.9	SOX8
ENSG00000006283.17|CACNA1G	ENSG00000006283.17	CACNA1G
ENSG00000006611.15|USH1C	ENSG00000006611.15	USH1C
ENSG00000006747.14|SCIN	ENSG00000006747.14	SCIN
ENSG00000007001.12|UPP2	ENSG00000007001.12	UPP2
ENSG00000007062.11|PROM1	ENSG00000007062.11	PROM1
ENSG00000007216.14|SLC13A2	ENSG00000007216.14	SLC13A2
ENSG00000007933.12|FMO3	ENSG00000007933.12	FMO3
ENSG00000008311.14|AASS	ENSG00000008311.14	AASS
ENSG00000009694.13|TENM1	ENSG00000009694.13	TENM1
ENSG00000009724.16|MASP2	ENSG00000009724.16	MASP2
ENSG00000009765.14|IYD	ENSG00000009765.14	IYD
ENSG00000010310.8|GIPR	ENSG00000010310.8	GIPR
ENSG00000010379.15|SLC6A13	ENSG00000010379.15	SLC6A13
ENSG00000011347.9|SYT7	ENSG00000011347.9	SYT7
ENSG00000011426.10|ANLN	ENSG00000011426.10	ANLN
ENSG00000011465.16|DCN	ENSG00000011465.16	DCN
ENSG00000013725.14|CD6	ENSG00000013725.14	CD6
ENSG00000015520.14|NPC1L1	ENSG00000015520.14	NPC1L1
ENSG00000019169.10|MARCO	ENSG00000019169.10	MARCO
ENSG00000019505.7|SYT13	ENSG00000019505.7	SYT13
ENSG00000020633.18|RUNX3	ENSG00000020633.18	RUNX3
ENSG00000021461.16|CYP3A43	ENSG00000021461.16	CYP3A43
ENSG00000021826.14|CPS1	ENSG00000021826.14	CPS1
ENSG00000024526.16|DEPDC1	ENSG00000024526.16	DEPDC1
ENSG00000026751.16|SLAMF7	ENSG00000026751.16	SLAMF7
ENSG00000027644.4|INSRR	ENSG00000027644.4	INSRR
ENSG00000027869.11|SH2D2A	ENSG00000027869.11	SH2D2A
ENSG00000029559.6|IBSP	ENSG00000029559.6	IBSP
ENSG00000030304.13|MUSK	ENSG00000030304.13	MUSK
ENSG00000034053.14|APBA2	ENSG00000034053.14	APBA2
ENSG00000034239.10|EFCAB1	ENSG00000034239.10	EFCAB1
ENSG00000035720.7|STAP1	ENSG00000035720.7	STAP1
ENSG00000036448.9|MYOM2	ENSG00000036448.9	MYOM2
ENSG00000036473.6|OTC	ENSG00000036473.6	OTC
ENSG00000038427.15|VCAN	ENSG00000038427.15	VCAN
ENSG00000039139.9|DNAH5	ENSG00000039139.9	DNAH5
ENSG00000039537.13|C6	ENSG00000039537.13	C6
ENSG00000041515.15|MYO16	ENSG00000041515.15	MYO16
ENSG00000043355.11|ZIC2	ENSG00000043355.11	ZIC2
ENSG00000043591.5|ADRB1	ENSG00000043591.5	ADRB1
ENSG00000050030.13|KIAA2022	ENSG00000050030.13	KIAA2022
ENSG00000050730.15|TNIP3	ENSG00000050730.15	TNIP3
ENSG00000051523.10|CYBA	ENSG00000051523.10	CYBA
ENSG00000052344.15|PRSS8	ENSG00000052344.15	PRSS8
