reactomeID	species	categoryID	categoryName	categoryNameAbbr
R-HSA-164843	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-73843	Homo sapiens	R-HSA-1430728	Metabolism	Metab
R-HSA-1971475	Homo sapiens	R-HSA-1430728	Metabolism	Metab
R-HSA-5619084	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-1369062	Homo sapiens	R-HSA-382551	Transport of small molecules	Transp Sm Mol
R-HSA-382556	Homo sapiens	R-HSA-382551	Transport of small molecules	Transp Sm Mol
R-HSA-9033807	Homo sapiens	R-HSA-1430728	Metabolism	Metab
R-HSA-418592	Homo sapiens	R-HSA-109582	Hemostasis	Hemost
R-HSA-392170	Homo sapiens	R-HSA-109582	Hemostasis	Hemost
R-HSA-198323	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-198693	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-211163	Homo sapiens	R-HSA-1266738	Developmental Biology	Dev Biol
R-HSA-112122	Homo sapiens	R-HSA-73894	DNA Repair	DNA Repair
R-HSA-112126	Homo sapiens	R-HSA-73894	DNA Repair	DNA Repair
R-HSA-4839748	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-163680	Homo sapiens	R-HSA-1430728	Metabolism	Metab
R-HSA-5467333	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-5467337	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-179409	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
R-HSA-174143	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
R-HSA-174048	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
R-HSA-174154	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
R-HSA-176409	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
R-HSA-174178	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
R-HSA-179419	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
R-HSA-5649702	Homo sapiens	R-HSA-73894	DNA Repair	DNA Repair
R-HSA-180689	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-5624958	Homo sapiens	R-HSA-1852241	Organelle biogenesis and maintenance	Org Biog
R-HSA-170984	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-380994	Homo sapiens	R-HSA-392499	Metabolism of proteins	Metab Prot
R-HSA-381183	Homo sapiens	R-HSA-392499	Metabolism of proteins	Metab Prot
R-HSA-381033	Homo sapiens	R-HSA-392499	Metabolism of proteins	Metab Prot
R-HSA-1296025	Homo sapiens	R-HSA-112316	Neuronal System	Neur Sys
R-HSA-450408	Homo sapiens	R-HSA-8953854	Metabolism of RNA	Metab RNA
R-HSA-8854518	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
R-HSA-5467340	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-4839735	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-2161541	Homo sapiens	R-HSA-1430728	Metabolism	Metab
R-HSA-2161517	Homo sapiens	R-HSA-1430728	Metabolism	Metab
R-HSA-2161522	Homo sapiens	R-HSA-1430728	Metabolism	Metab
R-HSA-73930	Homo sapiens	R-HSA-73894	DNA Repair	DNA Repair
R-HSA-2978092	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-167242	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-156582	Homo sapiens	R-HSA-1430728	Metabolism	Metab
R-HSA-264642	Homo sapiens	R-HSA-112316	Neuronal System	Neur Sys
R-HSA-181431	Homo sapiens	R-HSA-112316	Neuronal System	Neur Sys
R-HSA-399997	Homo sapiens	R-HSA-1430728	Metabolism	Metab
R-HSA-1300645	Homo sapiens	R-HSA-1474165	Reproduction	Reprod
R-HSA-2122948	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-9032845	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-9028731	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-9032500	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-9028335	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-9026527	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-9026519	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-9603381	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-9034793	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-9034864	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-5625886	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-2033519	Homo sapiens	R-HSA-1643685	Disease	Disease
R-HSA-111452	Homo sapiens	R-HSA-5357801	Programmed Cell Death	Prog Cell Death
R-HSA-165158	Homo sapiens	R-HSA-162582	Signal Transduction	Sig Transd
R-HSA-399710	Homo sapiens	R-HSA-112316	Neuronal System	Neur Sys
R-HSA-9619483	Homo sapiens	R-HSA-112316	Neuronal System	Neur Sys
R-HSA-176814	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
R-HSA-176187	Homo sapiens	R-HSA-1640170	Cell Cycle	Cell Cycl
