Demographic/Clinical Variable	p-value	odds
AFP	0.000139391272169818	9.75545462613809
Cirrhosis	0.0172775578724614	3.89626645422144
Tumor Size	0.0888790871291687	3.09368240264452
HDV	0.325890910144398	0.566161005387679
Albumin	0.449041462022483	0.472409667379546
HCV	0.468672840564244	0.665086417070277
Sex	0.473548905952654	0.676193413598045
Multinodular	0.531723614056978	1.67705020784787
Stage	0.576353309789141	1.48874054044643
Age	0.633234424623679	0.764935211464153
Alcohol	0.715277154100221	1.3839000298372
ALT	0.78361011806193	1.28026004673849
HBV	1	0.897703468186675
Obesity	1	0.89229115545666
Smoker	1	0.957591988191335
Fam Hx Liv C	1	1.09681443724641
Bilirubin	1	0.835885589166407
