Demographic/Clinical Variable	MO1	MO2	MO3	MO4
AFP	0.161261665240087	0.387583190523235	1	Inf
Tumor Size	0.842340336682481	0.298017145377116	8.86929289750793	1.22322109648902
Cirrhosis	0.314533081189369	0.576294731645922	2.05670719749485	3.0432990698397
HDV	0.728297226193994	2.97399406671325	0.26838196663179	1.08640675704558
Sex	2.07689771997165	0.764931449228903	0.247399331698243	1.55240714695481
HCV	3.02429555848817	0.543640100934209	0.661202538069877	0.817229226783536
Albumin	0.901572790399213	2.4551675919849	1.8870247188326	0
HBV	0.591485234785606	2.37287639176648	0.538521812787671	1.405026878672
Bilirubin	1.7157505622679	0.654352709333575	3.24488879707023	0
Smoker	1.91799392054647	0.452410545185066	0.534287992224561	1.37730914148837
ALT	0.918029342265569	0.807631931868126	0.551413179596777	2.48229956657439
Obesity	1.77819936522991	0.587512467564377	1.59365068002266	0.635105578554582
Stage	0.842752328950593	0.72248934175438	2.72230927408003	0.842752328950593
Age	1.91618945405692	0.708600553260256	0.840861410437853	0.817251332707555
Fam Hx Liv C	1.24536512871477	0.653772996158779	0.41482875367539	1.83696791330935
Multinodular	1.00728912147304	0.459688968769125	1.52600023118739	1.36312633848491
Alcohol	0.689082657392928	0.97656187469206	1.93391704668902	0.89052224724115
