Demographic/Clinical Variable	MO1	MO2	MO3	MO4
AFP	0.00801277721138738	0.215005235053606	1	3.58349018175557e-06
Tumor Size	1	0.116358663763353	0.0496056578659833	1
Cirrhosis	0.0819205254894667	0.530101376898453	0.331298113278568	0.0819205254894667
HDV	0.60280917230701	0.0838845868065713	0.111256192587715	1
Sex	0.195423469952199	0.780861481292835	0.0563004981763419	0.438569098226258
HCV	0.0656921551021737	0.39650123912538	0.535740357547831	0.790578155954533
Albumin	1	0.355365741968697	0.604318184939981	0.174311058385831
HBV	0.397711183079731	0.240191990824248	0.489464817644251	0.773655406442177
Bilirubin	0.619923433790363	1	0.230446074273937	0.315497246916239
Smoker	0.256888925343197	0.349751256816176	0.709459897045066	0.757898798994959
ALT	1	0.763149142269673	0.483128602057808	0.223967923657174
Obesity	0.394252565518947	0.539165779350258	0.717647969181353	0.558122928096971
Stage	1	0.749426551145072	0.291165999797072	1
Age	0.290946754171565	0.584063707674647	1	0.792604703210765
Fam Hx Liv C	0.735270504577247	1	0.670791619263334	0.452402047184509
Multinodular	1	0.48390288785059	0.684720478666481	0.725243264035566
Alcohol	1	1	0.601995168834822	1
