feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	0.522081911672353	1	1	1	1	1	1	1	1	1	1
sex	0.136995452018192	0.607142857142857	0.916666666666667	0.764705882352941	0.5	0.857142857142857	0.888888888888889	1	1	1	0.75
hcv	0.666969332122672	1	1	1	1	1	1	1	1	1	1
hbv	0.464802140791437	1	1	1	1	1	1	1	1	1	1
hdv	0.964136143455426	1	1	1	1	1	1	1	1	1	1
164843 [Disease]	0.00524797900808397	0.678466076696165	0.659090909090909	0.736842105263158	0.285714285714286	0.8	1	1	1	1	1
73843 [Metab]	0.107359570561718	0.833333333333333	1	0.75	1	1	1	1	0.666666666666667	1	1
1971475 [Metab]	0.14813940744237	1	1	1	1	1	1	1	1	1	1
5619084 [Disease]	0.00236799052803789	1	1	1	1	1	1	1	1	1	1
1369062 [Transp Sm Mol]	0.0052999788000848	0.2	0.5	1	1	1	1	1	1	1	1
382556 [Transp Sm Mol]	0.00938796244815021	1	1	1	1	1	1	1	1	1	1
9033807 [Metab]	0.0281478874084504	0.579804560260586	0.619834710743802	0.591182364729459	0.591954022988506	0.524547803617571	0.524216524216524	0.542857142857143	0.58974358974359	0.571428571428571	0.55786350148368
418592 [Hemost]	0.10063559745761	1	1	1	1	1	1	1	1	1	1
392170 [Hemost]	0.0198679205283179	0.642857142857143	0.703703703703704	0.789473684210526	0.25	1	1	1	1	1	1
198323 [Sig Transd]	0.819676721293115	1	1	1	1	1	1	1	1	1	1
198693 [Sig Transd]	0.0750076999692001	0.921052631578947	0.757575757575758	0.6	0.75	1	0.2	1	1	1	1
211163 [Dev Biol]	0.784100863596546	1	1	1	1	1	1	1	1	1	1
112122 [DNA Repair]	0.8250246999012	1	1	1	1	1	1	1	1	1	1
112126 [DNA Repair]	0.176467294130823	0.537459283387622	0.560185185185185	0.598484848484849	0.357142857142857	0.589473684210526	0.592920353982301	0.8	0.476190476190476	0.470588235294118	0.387096774193548
4839748 [Disease]	0.349186603253587	1	1	1	1	1	1	1	1	1	1
163680 [Metab]	0.55436578253687	1	1	1	1	1	1	1	1	1	1
5467333 [Disease]	0.0379918480326079	0.604095563139932	0.643258426966292	0.530434782608696	0.590909090909091	0.523364485981308	0.666666666666667	0.459183673469388	0.424657534246575	0.613333333333333	0.534883720930233
5467337 [Disease]	0.349178603285587	1	1	1	1	1	1	1	1	1	1
179409 [Cell Cycl]	0.0664837340650637	1	1	1	1	1	1	1	1	1	1
174143 [Cell Cycl]	0.0372558509765961	1	1	1	1	1	1	1	1	1	1
174048 [Cell Cycl]	0.0538317846728613	1	1	1	1	1	1	1	1	1	1
174154 [Cell Cycl]	0.0281398874404502	1	1	1	1	1	1	1	1	1	1
176409 [Cell Cycl]	0.0425998296006816	1	1	1	1	1	1	1	1	1	1
174178 [Cell Cycl]	0.0192079231683073	1	1	1	1	1	1	1	1	1	1
179419 [Cell Cycl]	0.0323838704645181	1	1	1	1	1	1	1	1	1	1
5649702 [DNA Repair]	0.539645841416634	1	1	1	1	1	1	1	1	1	1
180689 [Disease]	0.49498202007192	1	1	1	1	1	1	1	1	1	1
5624958 [Org Biog]	0.264030943876224	1	1	1	1	1	1	1	1	1	1
170984 [Sig Transd]	0.0323518705925176	0.517241379310345	0.4	0.479166666666667	0.647058823529412	0.56	0.333333333333333	0.5	0.666666666666667	0.166666666666667	0.8
380994 [Metab Prot]	0.104943580225679	1	1	1	1	1	1	1	1	1	1
381183 [Metab Prot]	0.00788796844812621	0.7221269296741	0.743055555555556	0.875	1	1	1	1	1	1	1
381033 [Metab Prot]	0.00805996776012896	0.68986083499006	0.642276422764228	0.622222222222222	0.5	0.666666666666667	1	1	1	0.4	1
1296025 [Neur Sys]	0.302574789700841	1	1	1	1	1	1	1	1	1	1
450408 [Metab RNA]	0.0922316310734757	1	1	1	1	1	1	1	1	1	1
8854518 [Cell Cycl]	0.0391118435526258	1	1	1	1	1	1	1	1	1	1
5467340 [Disease]	0.349210603157587	1	1	1	1	1	1	1	1	1	1
4839735 [Disease]	0.349242603029588	1	1	1	1	1	1	1	1	1	1
2161541 [Metab]	0.000151999392002432	0.360748723766307	0.406398104265403	0.404332129963899	0.439655172413793	0.473895582329317	0.455089820359281	0.411111111111111	0.430379746835443	0.453333333333333	0.442857142857143
2161517 [Metab]	0.0946676213295147	1	1	1	1	1	1	1	1	1	1
2161522 [Metab]	0.000291998832004672	0.523012552301255	0.5	0.67741935483871	0.666666666666667	1	1	1	1	1	1
73930 [DNA Repair]	0.12065151739393	0.5	1	1	1	0.75	1	1	1	1	1
2978092 [Disease]	0.937872248511006	1	1	1	1	1	1	1	1	1	1
167242 [Disease]	0.166299334802661	1	1	1	1	1	1	1	1	1	1
156582 [Metab]	0.0263438946244215	0.653333333333333	0.558823529411765	0.68	1	1	1	1	1	1	0.666666666666667
