feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	-0.000195824187871317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sex	0.000446967173359239	0.00354148136666365	0.00801465396172805	0.00763577387048055	0.0173673598301238	0.00800689690757505	0.00228138550329495	NaN	NaN	NaN	0.0614645493227129
hcv	0.000129456300375489	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hbv	0.000220788003509613	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
hdv	-1.22374893914439e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
164843 [Disease]	0.000661777643544765	0.00337054468548529	0.00560924838049046	0.00848450159577517	0.0139929439670475	0.00901658290480704	0.0160409723452456	NaN	NaN	NaN	NaN
73843 [Metab]	0.000476562740922568	0.00246348603025222	NaN	0.0135307896397871	NaN	NaN	NaN	NaN	0.00729014530181385	NaN	NaN
1971475 [Metab]	-0.00026853206402858	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5619084 [Disease]	-0.000550300461528852	-0.00325668325482748	-0.00452844889142699	-0.00418871461083507	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1369062 [Transp Sm Mol]	-0.000524298146085151	-0.00443545595800192	-0.00991968890789285	-0.0190591836104977	NaN	-0.000734444866593404	NaN	NaN	NaN	-0.0357508709212557	-0.0382980479940342
382556 [Transp Sm Mol]	-0.000462015594385814	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9033807 [Metab]	-0.000606680169996559	-0.00637311024918979	-0.0122822559692332	-0.0176867069115878	-0.0250895582381006	-0.0304301660260501	-0.0372442976119404	-0.0439374078468203	-0.0499330001865078	-0.0380681345205963	-0.057731000943108
418592 [Hemost]	-0.000315919313778877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
392170 [Hemost]	-0.000540282374405611	-0.0041959939867628	-0.00380088898223922	-0.00948508422047274	-0.0204829789144719	NaN	NaN	NaN	NaN	NaN	NaN
198323 [Sig Transd]	5.80382522471699e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
198693 [Sig Transd]	0.000494411913395304	0.00236911300624419	0.00555809551060043	0.0115978958256889	0.0178415952973906	NaN	0.033149091902491	NaN	NaN	NaN	NaN
211163 [Dev Biol]	-6.10896801296058e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
112122 [DNA Repair]	5.51872066258285e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
112126 [DNA Repair]	-0.000425598237929959	-0.00717177615366163	-0.0127845962929722	-0.0214925994533625	-0.0242097013374114	-0.0302690054325921	-0.0373643834599563	-0.0347972204580758	-0.0471788002161028	-0.0745562432532327	-0.0621391118033501
4839748 [Disease]	0.000207898113333476	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
163680 [Metab]	0.000144906308981388	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5467333 [Disease]	-0.000621520098414318	-0.00666251705110573	-0.0119076657758075	-0.0191902459663381	-0.0193414760025993	-0.0371410531969724	-0.0341407316954452	-0.0444667369504495	-0.0436544388833281	-0.0345728930886058	-0.0545805912983955
5467337 [Disease]	0.000207902987958312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
179409 [Cell Cycl]	0.000381539619150027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
174143 [Cell Cycl]	0.000424129211558083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
174048 [Cell Cycl]	0.000394050609850756	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
174154 [Cell Cycl]	0.00044768916383263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
176409 [Cell Cycl]	0.000409825478108776	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
174178 [Cell Cycl]	0.000466470119544085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
179419 [Cell Cycl]	0.000428458470434998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5649702 [DNA Repair]	-0.000159714757225697	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
180689 [Disease]	0.000149563373147047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5624958 [Org Biog]	0.000303489674204289	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
170984 [Sig Transd]	-0.000498909915224133	-0.00407683189495142	-0.00876974942589844	-0.00920699976141492	-0.0164486405400874	-0.0147605920760626	-0.0162396033738197	-0.019924395272008	-0.0374997150979888	-0.0495662540230739	-0.0475750044349109
380994 [Metab Prot]	0.000330368633272567	NaN	NaN	NaN	NaN	0.018036236909622	NaN	NaN	NaN	NaN	NaN
381183 [Metab Prot]	0.000699079754824377	0.0036921023137209	0.00504601544835404	0.0082722474050092	NaN	NaN	0.0170206593741502	NaN	0.00335473213312435	NaN	NaN
381033 [Metab Prot]	0.000683428995090712	0.00350380224147022	0.00576575538782026	0.00825514339459562	0.00253856858423219	0.0102629811066629	0.00832348376983246	NaN	NaN	0.0521581157417848	0.00538666161642021
1296025 [Neur Sys]	0.000294777726900569	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
450408 [Metab RNA]	0.000388176983351787	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8854518 [Cell Cycl]	0.000432449772472632	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5467340 [Disease]	0.000207885193694531	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4839735 [Disease]	0.000207877009626762	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2161541 [Metab]	-0.000799788063669865	-0.00765064622553578	-0.0141991328949584	-0.0208762625979109	-0.0248103670067699	-0.0340155604042925	-0.0428123681464256	-0.050625677290619	-0.0618700777651309	-0.0699782894810328	-0.0884656091141278
2161517 [Metab]	-0.000384138257758492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2161522 [Metab]	-0.000724580753925159	-0.00431827082305657	-0.00751754592537376	-0.00769219677243108	-0.00722944155924972	-0.0103064353350692	-0.00070590122724475	NaN	NaN	NaN	NaN
73930 [DNA Repair]	-0.000437139232999433	-0.00681028483840817	NaN	NaN	NaN	-0.0237691652292226	NaN	NaN	NaN	NaN	NaN
2978092 [Disease]	1.78902109108794e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
167242 [Disease]	0.000292259972988499	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
156582 [Metab]	-0.000579794529262499	-0.00382577468515633	-0.0106456384884507	-0.0110859815095941	NaN	-0.000740965397557507	NaN	NaN	NaN	-0.0352548097187365	-0.062350582441731
264642 [Neur Sys]	0.00104779611958413	0.016212567563306	0.023066926117419	0.0281861929708064	0.0311945167576603	0.0393134792768219	0.0463466163716547	0.051369558374525	0.0610957262398328	0.0751984583948047	0.0963079243530697
181431 [Neur Sys]	0.000593146149848176	0.00192616037769658	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
399997 [Metab]	-0.000717167768951597	-0.00430558114737766	-0.00747340002130977	-0.00997923616728232	-0.0116268145481831	-0.0119888611745003	-0.0134451691149528	-0.0105267086313046	-0.0107491875638965	-0.0480429132430523	-0.0221292828776438
1300645 [Reprod]	-0.000500550010247074	-0.00360408587888412	-0.00434020584099575	-0.0100975625232398	-0.0155022226568811	NaN	-0.00416608786532208	NaN	NaN	NaN	NaN
2122948 [Sig Transd]	0.000678835717874041	0.00606879736535515	0.00968122011051398	0.0156306957486724	0.0200858070362113	0.0220230729716438	0.0250415400435079	0.0235495763611831	0.0377116052372778	0.0473391685433746	0.0481694218011712
9032845 [Sig Transd]	2.07087927062151e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9028731 [Sig Transd]	-9.81638215256776e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9032500 [Sig Transd]	-0.000166161020780944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9028335 [Sig Transd]	0.000109541583649052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9026527 [Sig Transd]	0.000128642830466415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9026519 [Sig Transd]	0.00010411092280682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9603381 [Sig Transd]	-0.000766960587767335	-0.00492371351126733	-0.00628079885313132	-0.0071364806823214	-0.00853437662480117	-0.0088929764230233	-0.0124592705289328	-0.00931646933907217	-0.0155318355561317	-0.0217912297713829	-0.0247869213470392
9034793 [Sig Transd]	-0.000758050790846829	-0.00483743219084161	-0.00609699886429607	-0.00672627650060674	-0.008198639576109	-0.00838191234485246	-0.00906381012080305	-0.00798918085443577	-0.00366891410514243	NaN	NaN
9034864 [Sig Transd]	0.000776918721392161	0.00546315670407344	0.00783230036643013	0.00967070865731222	0.0119499438614525	0.0146175214773667	0.0188902124267049	0.0211381846762987	0.0236795403394078	0.0321279535059717	0.055417084562634
5625886 [Sig Transd]	0.000499587488043987	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2033519 [Disease]	4.28193391005019e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
111452 [Prog Cell Death]	1.6675763110097e-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
165158 [Sig Transd]	0.000442903883664303	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
399710 [Neur Sys]	0.000689445783916225	0.00611934596857066	0.00927221016575248	0.0108695489359655	0.0135154552813695	0.0141064600362029	0.0113741514016897	0.0300987951196642	0.0544780960307107	NaN	NaN
9619483 [Neur Sys]	0.00054566407542923	0.00311000349366899	0.00700786923182019	0.00491648375130849	0.00418331421570448	0.0101005665814978	NaN	NaN	NaN	NaN	NaN
176814 [Cell Cycl]	0.000411511398273239	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
176187 [Cell Cycl]	0.000492283498658877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
111447 [Prog Cell Death]	0.000291743289577218	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
114452 [Prog Cell Death]	0.000300253193071069	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
111446 [Prog Cell Death]	0.000360533403264153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
139910 [Prog Cell Death]	-3.79519861788012e-06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
174577 [Imm Sys]	-0.000302836397226448	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
451308 [Neur Sys]	0.00045452955683203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
