feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	1.64919061300186e-05	0	0	0	0	0	0	0	0	0	0
sex	6.01133933881139e-06	0.00310697356721126	0.00218387054257871	0.00315031933605514	0	0.00420173076775756	0.000531827548998218	0	0	0	0
hcv	6.8826392556813e-06	0	0	0	0	0	0	0	0	0	0
hbv	6.69959199426414e-06	0	0	0	0	0	0	0	0	0	0
hdv	6.37007364543196e-06	0	0	0	0	0	0	0	0	0	0
164843 [Disease]	6.98832707403829e-06	0.00285525755358055	0.0042048149882923	0.00677595815058948	0.0061597385216233	0.00900945430944942	0	0	0	0	0
73843 [Metab]	1.27870804585595e-05	4.33680868994202e-19	0	0	0	0	0	0	0	0	0
1971475 [Metab]	5.70147229000038e-06	0	0	0	0	0	0	0	0	0	0
5619084 [Disease]	9.28544390191014e-06	0.00236886588155587	0.00261093663544776	0.00336515395885602	0	0	0	0	0	0	0
1369062 [Transp Sm Mol]	1.01557736556927e-05	0.00226280931803514	0.00789103894241605	0.0123579674512719	0	0	0	0	0	0	0
382556 [Transp Sm Mol]	8.78618347902827e-06	0	0	0	0	0	0	0	0	0	0
9033807 [Metab]	1.21717216958913e-05	0.00572947788726292	0.0120730874144585	0.016118099602701	0.0257867256080152	0.0261107598611772	0.0335931641769289	0.038939661582807	0.0505130666710952	0.0344005926880171	0.0476083948561629
418592 [Hemost]	5.4809463878961e-06	0	0	0	0	0	0	0	0	0	0
392170 [Hemost]	6.94234798353472e-06	0.00371108372726073	0.00321419958947437	0.00703649968841549	0.00879441861268735	0	0	0	0	0	0
198323 [Sig Transd]	8.12811951545222e-06	0	0	0	0	0	0	0	0	0	0
198693 [Sig Transd]	7.55308800255792e-06	0.00244913414644934	0.00367876015168709	0.00930697546037986	0.0130670752315324	0	0.0283835728912598	0	0	0	0
211163 [Dev Biol]	7.17888178779918e-06	0	0	0	0	0	0	0	0	0	0
112122 [DNA Repair]	7.17796816503202e-06	0	0	0	0	0	0	0	0	0	0
112126 [DNA Repair]	1.92113295099268e-05	0.00599334863957108	0.0110419173041096	0.0213819292936642	0.0187815785414057	0.0230673251194892	0.0304854425687389	0.0152320792101242	0.0348738391590077	0.0375960806239527	0.0301178091073149
4839748 [Disease]	7.5364695098326e-06	0	0	0	0	0	0	0	0	0	0
163680 [Metab]	1.00878673024555e-05	0	0	0	0	0	0	0	0	0	0
5467333 [Disease]	1.16373440597944e-05	0.00553773356956025	0.014080044807234	0.0146551940800221	0.0172413538403611	0.0277358654604038	0.0349272484598895	0.0402891719169718	0.0470967065683614	0.0236527963634715	0.0372788252137322
5467337 [Disease]	7.53611430824216e-06	0	0	0	0	0	0	0	0	0	0
179409 [Cell Cycl]	6.87945453256872e-06	0	0	0	0	0	0	0	0	0	0
174143 [Cell Cycl]	6.58534984560257e-06	0	0	0	0	0	0	0	0	0	0
174048 [Cell Cycl]	6.42319495896633e-06	0	0	0	0	0	0	0	0	0	0
174154 [Cell Cycl]	6.24050964192435e-06	0	0	0	0	0	0	0	0	0	0
176409 [Cell Cycl]	6.55983055188528e-06	0	0	0	0	0	0	0	0	0	0
174178 [Cell Cycl]	6.67267647844403e-06	0	0	0	0	0	0	0	0	0	0
179419 [Cell Cycl]	6.76032833895149e-06	0	0	0	0	0	0	0	0	0	0
5649702 [DNA Repair]	8.31297355246089e-06	0	0	0	0	0	0	0	0	0	0
180689 [Disease]	6.07734841062593e-06	0	0	0	0	0	0	0	0	0	0
5624958 [Org Biog]	7.91037496433197e-06	0	0	0	0	0	0	0	0	0	0
170984 [Sig Transd]	8.08214984452893e-06	0.00329135814522414	0.00817335045700592	0.00698278209935821	0.00924002513986573	0.00933324390782356	0.0128685551676573	0.0139345442816739	0.0289914776081654	0.026216153760152	0.0471645442367492
380994 [Metab Prot]	8.55129455894926e-06	0	0	0	0	0	0	0	0	0	0
381183 [Metab Prot]	7.54723343049119e-06	0.00349523579540301	0.00415332229295986	0.00835492858986464	0	0	0	0	4.33680868994202e-19	0	0
381033 [Metab Prot]	7.47981626321175e-06	0.00340008954779653	0.00449419988793246	0.0073916896548455	0	0.0114332864064713	0	0	0	0	0
1296025 [Neur Sys]	8.74031537509639e-06	0	0	0	0	0	0	0	0	0	0
450408 [Metab RNA]	5.86594927069952e-06	0	0	0	0	0	0	0	0	0	0
8854518 [Cell Cycl]	6.63178881717755e-06	0	0	0	0	0	0	0	0	0	0
5467340 [Disease]	7.53575860382567e-06	0	0	0	0	0	0	0	0	0	0
4839735 [Disease]	7.53543712009802e-06	0	0	0	0	0	0	0	0	0	0
2161541 [Metab]	8.75060100609542e-06	0.00561007011484363	0.0115634235215324	0.0172326070885717	0.0216253897223474	0.0318292353875351	0.03664863097792	0.0466861868137823	0.0627669930008159	0.0594696492477282	0.075791973942842
2161517 [Metab]	7.32721362985489e-06	0	0	0	0	0	0	0	0	0	0
2161522 [Metab]	7.90803097002176e-06	0.0036916454127535	0.00652138037889218	0.00751616624857721	0.00699730948981006	0.00894442268532	1.0842021724855e-19	0	0	0	0
73930 [DNA Repair]	8.13494337631911e-06	0.000355156819684285	0	0	0	0	0	0	0	0	0
2978092 [Disease]	8.4701228591716e-06	0	0	0	0	0	0	0	0	0	0
167242 [Disease]	5.03044349843527e-06	0	0	0	0	0	0	0	0	0	0
156582 [Metab]	6.10100805793531e-06	0.00407951163429222	0.0080841371869284	0.007187478496438	0	0	0	0	0	0	0
264642 [Neur Sys]	7.04898630017065e-06	0.00160555360802236	0.00356283255759077	0.00555674274722752	0.00813092226815588	0.0106735933008332	0.0154990720663328	0.0219037391014401	0.0297634148725334	0.0397489732268978	0.0513634556703462
181431 [Neur Sys]	6.37039146394248e-06	0.000897045823054524	0	0	0	0	0	0	0	0	0
399997 [Metab]	7.68599280712904e-06	0.00350797815792802	0.00690027067640003	0.00953531815608516	0.0126290863656336	0.0091505194945689	0.0121152648708548	0.00510518741957135	0.00901039223886172	0.0364894103211886	0.0226885702755701
1300645 [Reprod]	9.11899525649759e-06	0.00250495490483502	0.00315167972014257	0.00919460364909159	0.0108849886004799	0	0	0	0	0	0
2122948 [Sig Transd]	1.05598316455687e-05	0.00544947380125865	0.00892779431968489	0.0138132925649905	0.0177885302942473	0.0179200622053793	0.0220167974268761	0.0210302901644835	0.0309057205129356	0.0431814087753744	0.044180948179118
9032845 [Sig Transd]	8.38982510766195e-06	0	0	0	0	0	0	0	0	0	0
9028731 [Sig Transd]	8.65974146414948e-06	0	0	0	0	0	0	0	0	0	0
9032500 [Sig Transd]	8.53466558866191e-06	0	0	0	0	0	0	0	0	0	0
9028335 [Sig Transd]	8.8251006421723e-06	0	0	0	0	0	0	0	0	0	0
9026527 [Sig Transd]	8.7477101971586e-06	0	0	0	0	0	0	0	0	0	0
9026519 [Sig Transd]	8.71681725845721e-06	0	0	0	0	0	0	0	0	0	0
9603381 [Sig Transd]	5.78023793183079e-06	0.0038074910666365	0.0049877155882268	0.00600755653244537	0.00726026187921109	0.00743870453197084	0.00994590761759801	0.00815868357770622	0.0142648827609343	0.0193350342566933	0.027072178139878
9034793 [Sig Transd]	5.85391540819408e-06	0.00377506846349438	0.00494711372694314	0.00601348161544615	0.00701942090053339	0.00739715314253006	0.00680276245660648	0.00620381961452733	0.00174344237298041	0	0
9034864 [Sig Transd]	5.76615965820123e-06	0.00373115629651014	0.00545391330514177	0.00681411193230983	0.00885016192116796	0.00995046850805613	0.0127129263592957	0.0133211969963001	0.0174383492783764	0.0272334202047043	0.0468867862592847
5625886 [Sig Transd]	6.87346553636136e-06	0	0	0	0	0	0	0	0	0	0
2033519 [Disease]	8.1802305907816e-06	0	0	0	0	0	0	0	0	0	0
111452 [Prog Cell Death]	8.99812452218699e-06	0	0	0	0	0	0	0	0	0	0
165158 [Sig Transd]	7.78635560124011e-06	0	0	0	0	0	0	0	0	0	0
399710 [Neur Sys]	1.03763806478095e-05	0.00592710182441673	0.00873936419190533	0.00894900512915032	0.012785141137489	0.0104487593245911	0.0109766328908722	0	0	0	0
9619483 [Neur Sys]	9.67887916108762e-06	0.00318134019000716	0.00531795616671522	0.00409272437410419	0.00104624760244248	3.0680645472651e-05	0	0	0	0	0
176814 [Cell Cycl]	6.5234502961578e-06	0	0	0	0	0	0	0	0	0	0
176187 [Cell Cycl]	5.9511647506243e-06	0	0	0	0	0	0	0	0	0	0
111447 [Prog Cell Death]	7.03329066396051e-06	0	0	0	0	0	0	0	0	0	0
114452 [Prog Cell Death]	6.40635623441452e-06	0	0	0	0	0	0	0	0	0	0
111446 [Prog Cell Death]	7.46998399507395e-06	0	0	0	0	0	0	0	0	0	0
139910 [Prog Cell Death]	7.42011282058325e-06	0	0	0	0	0	0	0	0	0	0
174577 [Imm Sys]	1.30403611958775e-05	0	0	0	0	0	0	0	0	0	0
451308 [Neur Sys]	1.15539993490445e-05	0	0	0	0	0	0	0	0	0	0
1296041 [Neur Sys]	7.78592736753328e-06	0	0	0	0	0	0	0	0	0	0
991365 [Neur Sys]	7.17717786434689e-06	0	0	0	0	0	0	0	0	0	0
5619507 [Dev Biol]	7.04195998132546e-06	0	0	0	0	0	0	0	0	0	0
936964 [Imm Sys]	8.0906396734134e-06	0	0	0	0	0	0	0	0	0	0
1592389 [ECM Org]	6.93991095023822e-06	0	0	0	0	0	0	0	0	0	0
1169091 [Imm Sys]	5.16957535887272e-06	0.00173114424942422	0.000356351078363225	0.00110978240334663	0	0	0	0	0	0	0
2980767 [Cell Cycl]	5.94442270686818e-06	0	0	0	0	0	0	0	0	0	0
442755 [Neur Sys]	5.79661254266464e-06	0	0	0	0	0	0	0	0	0	0
111448 [Prog Cell Death]	9.69715253458863e-06	0	0	0	0	0	0	0	0	0	0
451307 [Neur Sys]	1.06161946691048e-05	0	0	0	0	0	0	0	0	0	0
2151209 [Org Biog]	1.02858934040439e-05	0.00321745143344121	0.00820686354288316	0.00994885016782244	0.00468957404130055	0.014208381605466	0.0153212454740122	0.0609147064737926	0	0.0280414023643411	0.0277716121779366
139915 [Prog Cell Death]	1.03936718597301e-05	0	0	0	0	0	0	0	0	0	0
428540 [Dev Biol]	7.04879928616778e-06	0	0	0	0	0	0	0	0	0	0
9619229 [Neur Sys]	6.03390659576115e-06	0	0	0	0	0	0	0	0	0	0
1169092 [Imm Sys]	5.58714336980978e-06	0	0	0	0	0	0	0	0	0	0
