feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	1	0	0	0	0	0	0	0	0	0	0
sex	1	8e-04	4e-04	4e-04	2e-04	4e-04	4e-04	0	0	0	2e-04
hcv	1	0	0	0	0	0	0	0	0	0	0
hbv	1	0	0	0	0	0	0	0	0	0	0
hdv	1	0	0	0	0	0	0	0	0	0	0
164843 [Disease]	1	0.0218	0.0038	0.0016	6e-04	4e-04	2e-04	0	0	0	0
73843 [Metab]	1	2e-04	0	2e-04	0	0	0	0	2e-04	0	0
1971475 [Metab]	1	0	0	0	0	0	0	0	0	0	0
5619084 [Disease]	1	0.0022	8e-04	4e-04	0	0	0	0	0	0	0
1369062 [Transp Sm Mol]	1	0.0024	0.001	6e-04	0	2e-04	0	0	0	2e-04	2e-04
382556 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
9033807 [Metab]	1	0.0244	0.0226	0.0224	0.0116	0.0192	0.0176	0.0128	0.0094	0.0096	0.017
418592 [Hemost]	1	0	0	0	0	0	0	0	0	0	0
392170 [Hemost]	1	0.0038	0.002	0.0014	6e-04	0	0	0	0	0	0
198323 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
198693 [Sig Transd]	1	0.0014	0.0014	6e-04	6e-04	0	4e-04	0	0	0	0
211163 [Dev Biol]	1	0	0	0	0	0	0	0	0	0	0
112122 [DNA Repair]	1	0	0	0	0	0	0	0	0	0	0
112126 [DNA Repair]	1	0.0142	0.0102	0.006	0.004	0.0044	0.0052	0.0014	0.002	0.0014	0.0018
4839748 [Disease]	1	0	0	0	0	0	0	0	0	0	0
163680 [Metab]	1	0	0	0	0	0	0	0	0	0	0
5467333 [Disease]	1	0.0192	0.0114	0.0122	0.0042	0.0076	0.007	0.0058	0.0034	0.0038	0.0048
5467337 [Disease]	1	0	0	0	0	0	0	0	0	0	0
179409 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
174143 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
174048 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
174154 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
176409 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
174178 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
179419 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
5649702 [DNA Repair]	1	0	0	0	0	0	0	0	0	0	0
180689 [Disease]	1	0	0	0	0	0	0	0	0	0	0
5624958 [Org Biog]	1	0	0	0	0	0	0	0	0	0	0
170984 [Sig Transd]	1	0.0056	0.0056	0.0048	0.0022	0.0042	0.0034	8e-04	8e-04	0.002	0.0036
380994 [Metab Prot]	1	0	0	0	0	2e-04	0	0	0	0	0
381183 [Metab Prot]	1	0.0256	0.0066	0.0012	0	0	2e-04	0	2e-04	0	0
381033 [Metab Prot]	1	0.0244	0.006	0.002	2e-04	8e-04	2e-04	0	0	2e-04	2e-04
1296025 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
450408 [Metab RNA]	1	0	0	0	0	0	0	0	0	0	0
8854518 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
5467340 [Disease]	1	0	0	0	0	0	0	0	0	0	0
4839735 [Disease]	1	0	0	0	0	0	0	0	0	0	0
2161541 [Metab]	1	0.2738	0.1556	0.1182	0.0784	0.0726	0.054	0.0456	0.043	0.0384	0.0368
2161517 [Metab]	1	0	0	0	0	0	0	0	0	0	0
2161522 [Metab]	1	0.0758	0.0198	0.0082	0.0034	0.001	2e-04	0	0	0	0
73930 [DNA Repair]	1	4e-04	0	0	0	2e-04	0	0	0	0	0
2978092 [Disease]	1	0	0	0	0	0	0	0	0	0	0
167242 [Disease]	1	0	0	0	0	0	0	0	0	0	0
156582 [Metab]	1	0.0036	0.0014	0.0012	0	2e-04	0	0	0	2e-04	2e-04
264642 [Neur Sys]	1	0.967	0.9152	0.8532	0.761	0.7186	0.6504	0.553	0.4934	0.4258	0.3826
181431 [Neur Sys]	1	0.0016	0	0	0	0	0	0	0	0	0
399997 [Metab]	1	0.0408	0.0146	0.0094	0.004	0.0042	0.0024	0.0014	0.001	8e-04	0.0026
1300645 [Reprod]	1	0.0018	0.001	8e-04	6e-04	0	2e-04	0	0	0	0
2122948 [Sig Transd]	1	0.0372	0.0274	0.0258	0.0126	0.0224	0.0198	0.0144	0.0126	0.0106	0.0174
9032845 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
9028731 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
9032500 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
9028335 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
9026527 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
9026519 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
9603381 [Sig Transd]	1	0.2052	0.1098	0.0718	0.0348	0.0294	0.018	0.008	0.004	0.0024	0.0016
9034793 [Sig Transd]	1	0.1824	0.094	0.0548	0.0256	0.0196	0.0114	0.003	4e-04	0	0
9034864 [Sig Transd]	1	0.2542	0.146	0.1018	0.0568	0.0506	0.0366	0.0266	0.0166	0.0122	0.011
5625886 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
2033519 [Disease]	1	0	0	0	0	0	0	0	0	0	0
111452 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
165158 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
399710 [Neur Sys]	1	0.0396	0.015	0.0084	0.0026	0.0022	0.001	2e-04	2e-04	0	0
9619483 [Neur Sys]	1	0.0044	0.0022	8e-04	4e-04	4e-04	0	0	0	0	0
176814 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
176187 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
111447 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
114452 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
111446 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
139910 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
174577 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
451308 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
1296041 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
991365 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
5619507 [Dev Biol]	1	2e-04	0	0	0	0	0	0	0	0	0
936964 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
1592389 [ECM Org]	1	0	0	0	0	0	0	0	0	0	0
1169091 [Imm Sys]	1	0.0016	4e-04	4e-04	2e-04	0	0	0	0	0	0
2980767 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
442755 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
111448 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
451307 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
2151209 [Org Biog]	1	0.0094	0.0034	0.0016	0.0014	0.0022	0.001	0.001	0	4e-04	8e-04
139915 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
428540 [Dev Biol]	1	2e-04	2e-04	0	0	0	0	0	0	0	0
9619229 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
1169092 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
5635838 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
187015 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
5617472 [Dev Biol]	1	2e-04	0	0	0	0	0	0	0	0	0
111459 [Prog Cell Death]	1	6e-04	2e-04	0	0	0	0	0	0	0	0
2426168 [Metab]	1	0	0	0	0	0	0	0	0	0	0
451326 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
450341 [Imm Sys]	1	4e-04	0	0	0	0	0	0	0	0	0
8866907 [Gene Expr]	1	2e-04	2e-04	0	0	0	0	0	0	0	0
72662 [Metab Prot]	1	0	4e-04	0	0	0	0	0	0	0	0
2485179 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
68962 [Cell Cycl]	1	2e-04	0	0	0	0	0	0	0	0	0
75108 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
114294 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
1482798 [Metab]	1	0	0	0	0	0	0	0	0	0	0
1482883 [Metab]	1	0	0	0	0	0	0	0	0	0	0
1482788 [Metab]	1	0	0	0	0	0	0	0	0	0	0
1482839 [Metab]	1	0	0	0	0	0	0	0	0	0	0
1482925 [Metab]	1	0	0	0	0	0	0	0	0	0	0
1482922 [Metab]	1	0	0	0	0	0	0	0	0	0	0
1482801 [Metab]	1	0	0	0	0	0	0	0	0	0	0
1280218 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
417973 [Sig Transd]	1	0.016	0.0062	0.0064	0.0032	0.0032	0.0026	0.0024	4e-04	0.0012	0.0012
170660 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
170670 [Neur Sys Sig Tr]	1	0	0	0	0	0	0	0	0	0	0
418990 [C-C Comm]	1	0	0	0	0	0	0	0	0	0	0
392023 [Hemost]	1	0	0	0	0	0	0	0	0	0	0
400042 [Metab]	1	4e-04	4e-04	4e-04	0	0	0	0	0	0	0
390696 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
879415 [Imm Sys]	1	0.0432	0.0156	0.0088	0.0034	0.0034	0.0016	0.001	0.0012	8e-04	6e-04
5423646 [Metab]	1	4e-04	0	0	0	0	0	0	0	0	0
351143 [Metab]	1	0	0	0	0	0	0	0	0	0	0
1462054 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
389599 [Metab]	1	0	0	0	0	0	0	0	0	0	0
173736 [Imm Sys]	1	0.0012	8e-04	0.0014	2e-04	0.001	4e-04	0	0	0	2e-04
140179 [Metab]	1	0	0	0	0	0	0	0	0	0	0
375280 [Sig Transd]	1	2e-04	0	0	0	0	0	0	0	0	0
209776 [Metab]	1	0	0	0	0	0	0	0	0	0	0
156587 [Metab]	1	2e-04	0	0	0	0	0	0	0	0	0
70614 [Metab]	1	0.0064	8e-04	6e-04	0	0	0	0	0	0	0
352230 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
141444 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
141424 [Cell Cycl]	1	0	0	0	0	0	0	0	0	0	0
977225 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
2214320 [ECM Org]	1	0	0	0	0	2e-04	0	0	0	0	0
5620912 [Org Biog]	1	0.003	2e-04	0	0	0	0	0	0	0	0
193048 [Metab]	1	0	0	0	0	0	0	0	0	0	0
2473224 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
983170 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
983695 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
1236975 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
983168 [Imm Sys]	1	0.021	0.0052	0.005	0.001	0.0022	0.001	2e-04	6e-04	0	0.0012
6803157 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
1169410 [Imm Sys]	1	0	0	0	0	0	0	0	0	0	0
109581 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
140342 [Prog Cell Death]	1	0.0138	0.0068	0.0048	0.001	0.0028	0.0018	0.001	6e-04	6e-04	4e-04
351906 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
111465 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
75153 [Prog Cell Death]	1	0	0	0	0	0	0	0	0	0	0
111471 [Prog Cell Death]	1	0.0024	6e-04	0	0	0	0	0	0	0	0
445717 [Transp Sm Mol]	1	0	0	0	0	0	0	0	0	0	0
426048 [Sig Transd]	1	0	0	0	0	0	0	0	0	0	0
2142753 [Metab]	1	0	0	0	0	0	0	0	0	0	0
211957 [Metab]	1	0.006	0.0022	0.0014	6e-04	4e-04	6e-04	0	2e-04	0	0
8937144 [Metab]	1	4e-04	0	2e-04	2e-04	2e-04	0	0	0	0	0
446203 [Metab Prot]	1	0	0	0	0	0	0	0	0	0	0
175474 [Disease]	1	0	0	0	0	0	0	0	0	0	0
9609736 [Neur Sys]	1	0	0	0	0	0	0	0	0	0	0
168316 [Disease]	1	0.0264	0.0078	0.0016	6e-04	4e-04	2e-04	0	2e-04	0	0
