feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	1	1	1	1	1	1	1	1	1	1	1
sex	1	0.996108015567938	0.998044007823969	0.998064007743969	0.999012003951984	0.998052007791969	0.998032007871969	1	1	1	0.999012003951984
hcv	1	1	1	1	1	1	1	1	1	1	1
hbv	1	1	1	1	1	1	1	1	1	1	1
hdv	1	1	1	1	1	1	1	1	1	1	1
164843 [Disease]	1	0.893340426638293	0.981172075311699	0.992072031711873	0.997024011903952	0.998016007935968	0.999000003999984	1	1	1	1
73843 [Metab]	1	0.999020003919984	1	0.999012003951984	1	1	1	1	0.999008003967984	1	1
1971475 [Metab]	1	1	1	1	1	1	1	1	1	1	1
5619084 [Disease]	1	0.989012043951824	0.996004015983936	0.998000007999968	1	1	1	1	1	1	1
1369062 [Transp Sm Mol]	1	0.988016047935808	0.99501201995192	0.997000011999952	1	0.999000003999984	1	1	1	0.999000003999984	0.999000003999984
382556 [Transp Sm Mol]	1	1	1	1	1	1	1	1	1	1	1
9033807 [Metab]	1	0.881428474286103	0.888932444270223	0.88999244003024	0.942692229231083	0.905544377822489	0.913400346398614	0.936696253214987	0.953464186143255	0.95247219011124	0.916344334622662
418592 [Hemost]	1	1	1	1	1	1	1	1	1	1	1
392170 [Hemost]	1	0.9812200751197	0.990104039583842	0.993072027711889	0.997012011951952	1	1	1	1	1	1
198323 [Sig Transd]	1	1	1	1	1	1	1	1	1	1	1
198693 [Sig Transd]	1	0.99314802740789	0.99312802748789	0.997056011775953	0.997012011951952	1	0.998016007935968	1	1	1	1
211163 [Dev Biol]	1	1	1	1	1	1	1	1	1	1	1
112122 [DNA Repair]	1	1	1	1	1	1	1	1	1	1	1
112126 [DNA Repair]	1	0.930224279102884	0.949860200559198	0.970524117903528	0.980220079119684	0.978376086495654	0.974448102207591	0.993036027855889	0.990080039679841	0.993064027743889	0.991120035519858
4839748 [Disease]	1	1	1	1	1	1	1	1	1	1	1
163680 [Metab]	1	1	1	1	1	1	1	1	1	1	1
5467333 [Disease]	1	0.906340374638501	0.944420222319111	0.940376238495046	0.97934808260767	0.962852148591406	0.965752136991452	0.971388114447542	0.983288066847733	0.981296074815701	0.976512093951624
5467337 [Disease]	1	1	1	1	1	1	1	1	1	1	1
179409 [Cell Cycl]	1	1	1	1	1	1	1	1	1	1	1
174143 [Cell Cycl]	1	1	1	1	1	1	1	1	1	1	1
174048 [Cell Cycl]	1	1	1	1	1	1	1	1	1	1	1
174154 [Cell Cycl]	1	1	1	1	1	1	1	1	1	1	1
176409 [Cell Cycl]	1	1	1	1	1	1	1	1	1	1	1
174178 [Cell Cycl]	1	1	1	1	1	1	1	1	1	1	1
179419 [Cell Cycl]	1	1	1	1	1	1	1	1	1	1	1
5649702 [DNA Repair]	1	1	1	1	1	1	1	1	1	1	1
180689 [Disease]	1	1	1	1	1	1	1	1	1	1	1
5624958 [Org Biog]	1	1	1	1	1	1	1	1	1	1	1
170984 [Sig Transd]	1	0.972344110623558	0.972316110735557	0.976188095247619	0.989064043743825	0.979096083615666	0.983080067679729	0.996012015951936	0.996008015967936	0.99002003991984	0.982036071855713
380994 [Metab Prot]	1	1	1	1	1	0.999000003999984	1	1	1	1	1
