feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	0	0	0	0	0	0	0	0	0	0	0
sex	0	0.0126301037018514	0.00893979417659713	0.00893979417659713	0.00632455532033676	0.00893979417659713	0.00893979417659713	0	0	0	0.00632455532033676
hcv	0	0	0	0	0	0	0	0	0	0	0
hbv	0	0	0	0	0	0	0	0	0	0	0
hdv	0	0	0	0	0	0	0	0	0	0	0
164843 [Disease]	0	0.0629978470166142	0.0273186073273567	0.0178257610709265	0.0109434802398396	0.00893979417659713	0.00632455532033676	0	0	0	0
73843 [Metab]	0	0.00632455532033676	0	0.00632455532033676	0	0	0	0	0.00632455532033676	0	0
1971475 [Metab]	0	0	0	0	0	0	0	0	0	0	0
5619084 [Disease]	0	0.0208709270420745	0.0126301037018514	0.00893979417659713	0	0	0	0	0	0	0
1369062 [Transp Sm Mol]	0	0.0217879488413828	0.0141137946420939	0.0109434802398396	0	0.00632455532033676	0	0	0	0.00632455532033676	0.00632455532033676
382556 [Transp Sm Mol]	0	0	0	0	0	0	0	0	0	0	0
9033807 [Metab]	0	0.0660984796270611	0.0633502427245015	0.0631048510197292	0.0467720817115042	0.0589477296834648	0.0566873306255768	0.0489750809959367	0.0423489484336203	0.0427746381594242	0.0558042481726447
418592 [Hemost]	0	0	0	0	0	0	0	0	0	0	0
392170 [Hemost]	0	0.0273186073273567	0.0199097060851334	0.0166828750015793	0.0109434802398396	0	0	0	0	0	0
198323 [Sig Transd]	0	0	0	0	0	0	0	0	0	0	0
198693 [Sig Transd]	0	0.0166828750015793	0.0166828750015793	0.0109434802398396	0.0109434802398396	0	0.00893979417659713	0	0	0	0
211163 [Dev Biol]	0	0	0	0	0	0	0	0	0	0	0
112122 [DNA Repair]	0	0	0	0	0	0	0	0	0	0	0
112126 [DNA Repair]	0	0.0513906703692509	0.0440215617385151	0.0341345157452858	0.0280140105087577	0.0293513458209586	0.0318429579966117	0.0166828750015793	0.0199097060851334	0.0166828750015793	0.0188975426211219
4839748 [Disease]	0	0	0	0	0	0	0	0	0	0	0
163680 [Metab]	0	0	0	0	0	0	0	0	0	0	0
5467333 [Disease]	0	0.0589477296834648	0.0463917254711677	0.0478900141308546	0.0286911690801052	0.0382583808296131	0.036774343669906	0.0335780804616269	0.0258671434276982	0.0273186073273567	0.03062511874096
5467337 [Disease]	0	0	0	0	0	0	0	0	0	0	0
179409 [Cell Cycl]	0	0	0	0	0	0	0	0	0	0	0
174143 [Cell Cycl]	0	0	0	0	0	0	0	0	0	0	0
174048 [Cell Cycl]	0	0	0	0	0	0	0	0	0	0	0
174154 [Cell Cycl]	0	0	0	0	0	0	0	0	0	0	0
176409 [Cell Cycl]	0	0	0	0	0	0	0	0	0	0	0
174178 [Cell Cycl]	0	0	0	0	0	0	0	0	0	0	0
179419 [Cell Cycl]	0	0	0	0	0	0	0	0	0	0	0
5649702 [DNA Repair]	0	0	0	0	0	0	0	0	0	0	0
180689 [Disease]	0	0	0	0	0	0	0	0	0	0	0
5624958 [Org Biog]	0	0	0	0	0	0	0	0	0	0	0
170984 [Sig Transd]	0	0.0330110546594581	0.0330110546594581	0.03062511874096	0.0208709270420745	0.0286911690801052	0.0258671434276982	0.0126301037018514	0.0126301037018514	0.0199097060851334	0.0266035288589267
380994 [Metab Prot]	0	0	0	0	0	0.00632455532033676	0	0	0	0	0
381183 [Metab Prot]	0	0.0674476774187903	0.0357451775449181	0.0154531161517281	0	0	0.00632455532033676	0	0.00632455532033676	0	0
381033 [Metab Prot]	0	0.0660984796270611	0.0341345157452858	0.0199097060851334	0.00632455532033676	0.0126301037018514	0.00632455532033676	0	0	0.00632455532033676	0.00632455532033676
1296025 [Neur Sys]	0	0	0	0	0	0	0	0	0	0	0
450408 [Metab RNA]	0	0	0	0	0	0	0	0	0	0	0
8854518 [Cell Cycl]	0	0	0	0	0	0	0	0	0	0	0
5467340 [Disease]	0	0	0	0	0	0	0	0	0	0	0
