feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	3.29682342553038e-06	-0.00398880437437173	-0.00704379449773663	-0.00953437729094975	-0.0130336391147639	-0.0158510334295332	-0.0185226685425259	-0.0249042697023815	-0.0240704674881307	-0.0263698332404957	-0.0271359279670069
sex	3.14223398633978e-06	-0.000224265904274667	-0.0008522987570009	-0.00174879680240422	-0.000865771543385488	-0.00166173283989885	-0.00258935819790381	-0.00300952683518097	-0.00298080805763898	-0.00603451212880722	-0.0036138042962894
hcv	5.29948325518465e-07	-0.00196838143135558	-0.00402597251891891	-0.0048669427804197	-0.00728035809364189	-0.00667781497619097	-0.00834644558965696	-0.0132726654958147	-0.0130451494044951	-0.0126714293868145	-0.0150470846218315
hbv	-7.21886212326162e-07	-0.004827885539165	-0.00889015425253355	-0.0140444220256417	-0.0186586390367091	-0.0207687463478449	-0.0263775645274258	-0.0282559021418925	-0.0337949648713677	-0.0340838211603983	-0.0373952828700121
hdv	-1.71505615847073e-07	0.00248315426443003	0.00533969876911664	0.00851291062876882	0.0115757615458778	0.0156539396340923	0.0139532808420301	0.0187888298396123	0.0183551594910374	0.0225649033408545	0.0230709032918652
164843 [Disease]	-5.77614747589319e-07	0.000881669406434004	0.0026518958421243	0.00209262953626973	0.00421640229421975	0.0042773234276706	0.00856923529449119	0.0118031842452494	0.00643315818853829	0.0105435755877569	0.0176377159353604
73843 [Metab]	8.41636265298607e-07	0.00911212671883978	0.017092392631016	0.0251346885089571	0.0347012966796731	0.0414065348048091	0.0478248058710548	0.057162382276793	0.0641576968230454	0.0723954687008489	0.0713567355928142
1971475 [Metab]	-7.8719039669155e-06	0.000243056193515308	0.000562517340822696	0.000720240114859736	0.00155624190257528	0.00565026865752408	0.00127131418266209	0.00745705344239762	0.0166145131927518	0.00121220108875364	0.000569431873390093
5619084 [Disease]	5.23463455341561e-06	-0.00368143479859492	-0.0054327660985519	-0.0099200144727017	-0.0134294510873465	-0.0117046368811151	-0.0232788754432104	-0.0291500062421267	-0.0320598969921333	-0.103212506821817	-0.0864983370123229
1369062 [Transp Sm Mol]	4.6120191341369e-06	-0.00419237794110901	-0.00802347020834219	-0.0108359870672985	-0.0159434180524096	-0.0185441659897171	-0.021448939594227	-0.0378545235914028	-0.0513541749405036	-0.036123302769888	-0.0744177316750963
382556 [Transp Sm Mol]	5.33195113548893e-06	-0.0028169767064453	-0.00581171238595529	-0.0103360113242529	-0.01264953782535	-0.0151186370441279	-0.0156015286069965	-0.0435864999208745	-0.0482688835234277	-0.0428067282518703	-0.068928254654382
9033807 [Metab]	-4.25147813998579e-06	0.00161884781492537	0.00355996488418427	0.00442919359448267	0.00555532581533461	0.0072347897657979	0.0103871725798545	0.0111342950781232	0.011068817391355	0.0158710910623415	0.0147654551610069
418592 [Hemost]	-7.07588643665156e-06	-0.000807154962830831	-0.000841876114732101	-0.00121164420067652	-0.00138390356311908	-0.00215794454994676	-0.00443289323683878	-0.00774819155525582	-0.00703422894194505	-0.0141044651150707	-0.0118352614652545
392170 [Hemost]	-5.2353573953626e-06	-0.00226737497823364	-0.0035326024461739	-0.00509586624345033	-0.00523862735589552	-0.00737782384960486	-0.00738813246812931	-0.00891859569895582	-0.0121675396145004	-0.0132948965169782	-0.015058682897302
198323 [Sig Transd]	-4.75905030419431e-06	-0.000635320123111847	-0.000804152595493229	-0.000439364095413716	-0.00207883916573427	-0.00142879334884971	-0.000535858839558578	-0.000278813684622066	-0.00496674714122265	-0.00307768379948361	-0.00665048829918164
198693 [Sig Transd]	-1.25977990002644e-06	0.000617328402526447	0.00243184649687766	0.00311146562864371	0.00478905176664392	0.00328703239718993	0.00517110577890808	0.00494053433242006	0.0109994548705537	0.00768230608739975	0.0118059603720714
211163 [Dev Biol]	-5.2648334024299e-06	-0.000258342649579165	-0.000791796885379488	-0.000314307401956425	-0.000671018291827685	-0.00167401953542924	-0.00164146799408029	-0.0069422952689063	-0.00539401281689292	0.00286736846694289	-0.0113364801355472
112122 [DNA Repair]	5.59704970080032e-06	0.0010212803805758	0.00127998280496165	0.00385594110181018	0.00350030847129581	0.0049155192908596	0.00453492952465664	0.00658859000843694	0.00667267888089811	0.00873202646888116	0.01528364945498
112126 [DNA Repair]	-5.54860362707796e-07	-0.00691371220564264	-0.014703974429248	-0.0219743090186394	-0.0267231307597235	-0.0348184559363545	-0.040968345352265	-0.047715632089972	-0.0525459060355987	-0.0630187572704213	-0.069979928905875
4839748 [Disease]	-5.25607567459733e-06	-0.000571847444071382	-0.00101095949492347	-0.00109597653146103	-0.0011016474041371	-0.00117305797407498	-0.0019004906730326	-0.00226842661621386	-0.00280812032444608	-0.00294812337048064	-0.0164202793826736
163680 [Metab]	5.87089594476351e-06	-0.00411939824106062	-0.00752050581982986	-0.0118005937970529	-0.0154633577478395	-0.0197275135079556	-0.0238791161019915	-0.0319358755943162	-0.0342283020054625	-0.0422566998737395	-0.043015656306516
5467333 [Disease]	-5.7577453112024e-07	-5.80636960257352e-05	0.000669920555163313	-0.000292809145953355	0.000112670360749746	0.00276568739797938	0.00302676116987578	0.0031804705708463	-0.000879243882208104	0.00233267478427266	0.00444469236175208
5467337 [Disease]	-5.23430777573128e-06	-0.000554901678022778	-0.000987295439593697	-0.00108052347985866	-0.00113119888112164	-0.00126895246095219	-0.00209677475229618	-0.00248653643137282	-0.00303653307346792	-0.00272153129487266	0.000327705784722563
179409 [Cell Cycl]	2.15796400110265e-06	-0.00214680679314835	-0.00419752597256995	-0.00603167721735752	-0.0103089588832237	-0.0139395384635494	-0.017442527330461	-0.0208146550754507	-0.0288848016259927	-0.056582362633284	-0.0695638983695828
174143 [Cell Cycl]	2.37352996392612e-06	-0.0017107135007595	-0.00216539750293222	-0.00425460673146748	-0.00623705632509587	-0.00722902147992893	-0.00750025102373598	-0.0152262096700084	-0.00214755508163635	-0.00162981280715131	-0.089643011285744
174048 [Cell Cycl]	1.74787396062886e-06	-0.00118758905539791	-0.00209849127309262	-0.00366163870332853	-0.00585329570625636	-0.00541244637752558	-0.0141281216453695	-0.0105610657382041	-0.0174199771701293	-0.0401959236200883	-0.0873829683356266
174154 [Cell Cycl]	2.42981866500457e-06	-0.00162997013591094	-0.00350514136981065	-0.00616501420408694	-0.00833708555709973	-0.00696995874638544	-0.0129926843158981	-0.0151176244991945	-0.0148812829393166	-0.0133551975420506	-0.0316573085041778
176409 [Cell Cycl]	2.22777486525749e-06	-0.00176801086288583	-0.00213830528671885	-0.00433189030704391	-0.00545792120933773	-0.006880892907046	-0.00984401076177952	-0.00709088263564544	-0.0215530358286726	-0.0247436692927869	-0.0564764000772068
174178 [Cell Cycl]	2.739332757623e-06	-0.00182407009966763	-0.00349318589581704	-0.00550485187557416	-0.0094005047549788	-0.00692451720449642	-0.0117437323398985	-0.023822754162695	-0.0140909559052802	-0.0339810709351427	-0.0473334106113965
179419 [Cell Cycl]	2.33690361348199e-06	-0.00210390026968304	-0.00277829279000925	-0.00550155607812268	-0.00826028862818019	-0.0108828293512749	-0.0132604638171364	-0.0184061895464427	-0.0299956828548498	-0.0259073544188162	-0.0615976927631218
5649702 [DNA Repair]	1.42477795175912e-06	-0.00109304710451351	-0.00166148444198256	-0.00316446773728902	-0.00505179467068934	-0.00237373727087616	-0.0070357017970249	-0.00785927316883545	-0.00853038825752284	-0.0111885135607769	-0.0108277762330346
180689 [Disease]	4.56090598379564e-06	-0.000341511270015769	-0.000362590413919024	-0.00020461478586284	-0.00426925523993047	-0.00430671964441692	-0.00394586137133754	-0.00434584996113515	-0.00342145543207111	-0.00719117620029595	-0.0092290323690662
