feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	0.000301123465021999	0.012078636799733	0.0226869999491588	0.0328081831849299	0.0400056693104254	0.0512474492225322	0.0579269535004656	0.0617475719906723	0.0682221467504475	0.0779062605305304	0.0871060912139035
sex	0.000300111106458039	0.0117780276388612	0.0219438274749302	0.0314797123280205	0.0389600065646625	0.0505782704411901	0.0572170604686763	0.0608891127650667	0.0720681019096502	0.0775298574030978	0.0896005995018542
hcv	0.000307961867051937	0.0135427076348566	0.0255826369361792	0.0354449293406174	0.043877419704012	0.0521000176324744	0.0611536934090623	0.064656998592506	0.0711844887961472	0.077967177018619	0.0862315767162367
hbv	0.000307108735367467	0.0127719230447914	0.0243072014124789	0.0343526411219834	0.0404458097440599	0.0521059424748734	0.0608941626873245	0.0631316430886543	0.0695822599184044	0.0756519359275914	0.0868980426634631
hdv	0.000303432633068732	0.012875799814435	0.0243594454048788	0.0347287000955766	0.0417166295014192	0.0535567743053232	0.0604512959268557	0.0656644544631466	0.0711766005270027	0.0773757981893174	0.0863974870203609
164843 [Disease]	0.000239990020909399	0.0084572701518	0.0144634327177656	0.0194459016488426	0.0247374644444985	0.0314235502171602	0.0370570894449511	0.0472921594274173	0.0575352751042866	0.0688930973723628	0.0865662023298513
73843 [Metab]	0.000295083166600533	0.0100850808082378	0.0189922820403888	0.027735620708121	0.0337910841549877	0.043613540444351	0.0513484825466214	0.05390732476784	0.0616743738420448	0.0673624506672057	0.0778192109272307
1971475 [Metab]	0.00018520504467068	0.0048973722831046	0.00788730342014855	0.0113072712441867	0.0131700070644103	0.0182575774327073	0.0223161543636848	0.0287704874813284	0.0338719923066949	0.054805263406741	0.0771750186845635
5619084 [Disease]	0.000187185457590214	0.00305980444397368	0.00608798652046081	0.00698389657919476	0.0107360117312542	0.0100620604012235	0.0150162543948245	0.032330662347431	0.028612434593079	0.0571656686989309	0
1369062 [Transp Sm Mol]	0.000192652747181416	0.00386087863847452	0.0079324386390337	0.00997004662484801	0.0138930021458441	0.0194793188106801	0.0256945137530264	0.0331702622160273	0.0492557137793709	0.0333542692138582	0.0661107523612583
382556 [Transp Sm Mol]	0.000181087090187162	0.00282179921062843	0.00685294615642124	0.010083419159276	0.00919377854812716	0.0155796187989106	0.010821034488187	0.0310636879613251	0.00926253725807186	0.03409586353023	0.099779381448844
9033807 [Metab]	0.000279567386128294	0.0115786982340045	0.0216089859990189	0.0315705596856575	0.0399560285168955	0.0484987535208555	0.0586713755070835	0.0642264203874406	0.0684311289353948	0.0759234783724234	0.0877956653741755
418592 [Hemost]	0.000192222873695009	0.00601805928790261	0.0106990320636794	0.0175564622490975	0.0196235042775024	0.0272173582820037	0.0333761951730041	0.0466829896778852	0.0547158966908532	0.0605804777298834	0.0978416043272091
392170 [Hemost]	0.000233897411201394	0.00753963248997434	0.0127471719728726	0.0188559474993572	0.0238309719240647	0.0310920579918265	0.0370155779755125	0.0424336979139618	0.0575120724733922	0.0649470118084665	0.0903471121545551
198323 [Sig Transd]	0.000251766036977069	0.0103934692414767	0.0189177556688434	0.0281114305000219	0.0341684628920955	0.0449966416234669	0.0524329628169863	0.0559408343900795	0.0640035083598628	0.0736441610424992	0.0925054938988824
198693 [Sig Transd]	0.000277823815080235	0.0113745855781648	0.0195772776216604	0.0269157610652507	0.033466582135247	0.0414482611659228	0.0500024531181219	0.0564686774252336	0.0622001541654283	0.0766028119886603	0.0866547546643711
211163 [Dev Biol]	0.000220369980625203	0.0090943876992822	0.0173048524445374	0.0245695110981281	0.0333461036083367	0.0439266593216067	0.0520642297697985	0.0555158762026603	0.0646697237878309	0.0727715709374441	0.0931746946739271
112122 [DNA Repair]	0.00024656817412231	0.010385930559492	0.020117359448112	0.0292688133624512	0.0363711687834265	0.0475785282203001	0.054029011266838	0.0600973270494075	0.0682150673255241	0.0768246374771517	0.0861144337083123
112126 [DNA Repair]	0.000311323161150282	0.0102942231390535	0.0196780917510455	0.028869096558514	0.036285402579032	0.0440973699596519	0.0524812115788778	0.0578847065493462	0.0660015276143571	0.0778631112483193	0.0827125037877383
4839748 [Disease]	0.000221022990663075	0.00470038166145389	0.00671088566478961	0.00813869558911028	0.00935897085688294	0.0110534471986635	0.0118533652854669	0.0124068069988242	0.0133538220299768	0.0125555794633827	0.084090673920215
163680 [Metab]	0.000242047713888803	0.00974606910045245	0.017747080246118	0.0274575332686573	0.0324047447755477	0.0422175059027782	0.0505320579991577	0.0556450060426846	0.0654960524198381	0.0734174945702399	0.0870184325057575
5467333 [Disease]	0.000301133812489929	0.0122319233731383	0.0232619283580583	0.0330477254009971	0.039810148213514	0.0515636288880454	0.0592616023032096	0.0650340366109541	0.0712267372174748	0.0776794669155293	0.0888348894250594
5467337 [Disease]	0.000221023635388377	0.00469421943164011	0.00669403800402895	0.00811791499173915	0.00934392196356742	0.0110560020750333	0.0118374220269087	0.012297293407476	0.0130204119015932	0.0135043181914499	0.00429035360946394
179409 [Cell Cycl]	0.000207946046411842	0.00298216880604462	0.00529724290041172	0.00653994181546121	0.00904946170759691	0.0123037067884172	0.0171321725317463	0.0226987904998617	0.0266133484727625	0.0498079658634325	0.0676695063886843
174143 [Cell Cycl]	0.000203884045633581	0.00265541030801011	0.00437628290696655	0.00523548565130696	0.00747603117626603	0.00826507357438195	0.0103135954773466	0.0158428889437555	0.014632681718159	0.011521141018139	0.0580447800367358
174048 [Cell Cycl]	0.000204436615387149	0.0034904698641	0.00581727605699744	0.00765501949455061	0.0102066971171157	0.0118599253499028	0.0184677828891553	0.019352723257291	0.0209466460598012	0.0334635400149048	0.0604579584006774
174154 [Cell Cycl]	0.000204713227991866	0.00407282743021207	0.00701071227851431	0.0107558257511991	0.0148581402514093	0.0190357256720823	0.019548545329307	0.0308372459340204	0.0421033514649596	0.0624575500218455	0.0879499120628269
176409 [Cell Cycl]	0.00020245145760498	0.00288881279187553	0.00451134469721624	0.00549472247084092	0.00880936075564351	0.0103020065927321	0.0111297979982916	0.0169864011061067	0.0209975405891499	0.054597428825197	0.0561239733176476
174178 [Cell Cycl]	0.000200270024007017	0.00388440664869682	0.00734206161612613	0.0102331704379231	0.0154817094345885	0.020238527561112	0.0259683181119877	0.027018220940771	0.0385240853013598	0.0414972104263414	0.0773833190503166
179419 [Cell Cycl]	0.000200758772324772	0.00287069135727118	0.0046407599272007	0.00622038648527971	0.00898765086626744	0.00966835503617616	0.0123045953316106	0.0226555060995592	0.0284098527851534	0.0435049698415318	0.0715523295526627
5649702 [DNA Repair]	0.000257967020573105	0.01052962599996	0.0191237315429995	0.0267844906358342	0.0340726892452745	0.0433811551261363	0.0549326391636769	0.0616456433304007	0.0661145800961046	0.0762111066588706	0.0856739809883518
180689 [Disease]	0.000217804921861123	0.00831318097960673	0.0157004184872405	0.0232324899486449	0.0296651946297748	0.0400787707921275	0.0472730130471499	0.0512535047595558	0.059313793160766	0.0769335928606132	0.090861481054674
5624958 [Org Biog]	0.00026971464338643	0.0117145725387675	0.021144032885521	0.0317738614266915	0.0388895606076314	0.0502733258239071	0.0584274511346513	0.062344191118893	0.0739171445624202	0.0782693170892972	0.0896087355145869
170984 [Sig Transd]	0.000234403492174442	0.00620830012503381	0.00911563057239616	0.0112595321342174	0.012872414637751	0.0156141426366165	0.0170641099595468	0.0203252605347416	0.0247726833334237	0.0371390514576103	0.0764879010127057
380994 [Metab Prot]	0.000203227633435292	0.00704454578956468	0.0125233737954979	0.0176573576926146	0.0209287716187121	0.0255138984311937	0.0288870097434363	0.0323566138206588	0.0370757438586546	0.0464589459020854	0.0811633676891891
381183 [Metab Prot]	0.00026767469792249	0.0102507701042696	0.0182684566429983	0.0253455217055453	0.0301979539005788	0.0388898892867504	0.0454194815587636	0.0530635472216366	0.0620521594803576	0.0719144600942732	0.0870486493986542
381033 [Metab Prot]	0.000262165536488575	0.00995655721484449	0.0175612146030764	0.0240015415810367	0.0283347836081274	0.0372632588094455	0.0411261713647416	0.0473031109870053	0.0553900565052182	0.0703800199470143	0.091122225019339
1296025 [Neur Sys]	0.000284499103942823	0.0114990356312559	0.0202670409037075	0.0286872719114085	0.0353356016929885	0.0441880805751444	0.0548052492166298	0.0587639257703782	0.0709301203304544	0.0782980160120542	0.0917600652565402
450408 [Metab RNA]	0.000230325537081264	0.00382724466830677	0.00618463444884629	0.00805828856176048	0.0101740733940645	0.0138074461192803	0.0192911828755695	0.0220023677436217	0.0323671165576141	0.0377488928675771	0.0907986961217829
8854518 [Cell Cycl]	0.000210438737772529	0.00379275564526156	0.00646958403183401	0.00980705008521586	0.0141543977669347	0.0171648030492855	0.0228262522490059	0.0349026449502729	0.0410732165638449	0.0487633958297808	0.0781587116928276
5467340 [Disease]	0.000221025559935923	0.00468799643968734	0.00668474681931093	0.00810799385277558	0.00933379237367801	0.0110567001037985	0.0117796987862426	0.012206201991275	0.0130371430301183	0.0147899555852723	0.00779139088229123
4839735 [Disease]	0.00022102506793644	0.00468282837090036	0.00667870250753547	0.00810804236790116	0.00933379573409326	0.0110405206381011	0.0117376888724559	0.0122182429514627	0.0133229347739834	0.0153907811129243	0.00192427842437573
2161541 [Metab]	0.000216119756832443	0.00672658551767709	0.0128687698768195	0.0176423820813108	0.0227144379900377	0.0321832536546376	0.0381407924811002	0.045259357101976	0.0549742018099526	0.0727946755366731	0.0788382205685334
2161517 [Metab]	0.00022978765593678	0.00843436693201641	0.0154985216438381	0.0228497394833096	0.0277308262256585	0.0375858477367389	0.0448868710154758	0.0521602014852005	0.0576745936728397	0.0728597524618152	0.0902773104638589
2161522 [Metab]	0.000207408671786919	0.00583751733302168	0.0102954730553216	0.0132812001401255	0.0196257127739227	0.0237473839105412	0.030676414334489	0.0349375115800689	0.0390168605752555	0.0650810866203659	0.0802097130763638
73930 [DNA Repair]	0.000281041000817337	0.0107386207437929	0.0198072011528246	0.0256301273036434	0.0318366511276017	0.0392077556387721	0.0470209777574803	0.0529382094494024	0.0625107149357857	0.0714766232534062	0.0891135464424076
