feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	1	0.0068208	0.0063592	0.006296	0.0042208	0.0060232	0.0060296	0.004124	0.0040152	0.0040392	0.0056624
sex	1	0.0072728	0.0065584	0.0062104	0.004116	0.0057976	0.0054712	0.0038696	0.0038536	0.003584	0.005068
hcv	1	0.0083344	0.0079312	0.0077248	0.0055376	0.0076296	0.0079048	0.0051072	0.0052712	0.0052664	0.0073096
hbv	1	0.0080384	0.0079352	0.007756	0.0053416	0.0076912	0.0074424	0.0051936	0.0050608	0.005072	0.0070624
hdv	1	0.0079272	0.0074944	0.007448	0.0052344	0.0071088	0.0070384	0.0048504	0.0047904	0.0048168	0.0066472
164843 [Disease]	1	0.0036648	0.0027448	0.002236	0.0014288	0.0014296	0.0012448	0.0008592	0.000736	0.000632	0.000712
73843 [Metab]	1	0.0060016	0.0056776	0.0053384	0.00378	0.0048736	0.0048664	0.0033952	0.0032432	0.0031968	0.0043792
1971475 [Metab]	1	0.0008432	0.0003808	0.0001896	0.0001056	8.32e-05	8e-05	2.96e-05	2.88e-05	1.52e-05	1.6e-05
5619084 [Disease]	1	0.0004272	0.0001752	6.88e-05	5.44e-05	3.36e-05	1.52e-05	1.12e-05	5.6e-06	3.2e-06	7.99999999999998e-07
1369062 [Transp Sm Mol]	1	0.000736	0.0003288	0.0001864	0.000124	9.92e-05	6.16e-05	4e-05	2.96e-05	1.84e-05	2.32e-05
382556 [Transp Sm Mol]	1	0.0003288	0.0001096	4.24e-05	2.8e-05	2.56e-05	6.4e-06	7.19999999999999e-06	4.8e-06	3.2e-06	4e-06
9033807 [Metab]	1	0.0057552	0.0050528	0.004896	0.0034152	0.004372	0.0043704	0.0029672	0.0027976	0.0028352	0.0039496
418592 [Hemost]	1	0.001064	0.0004936	0.0003248	0.0002056	0.0002192	0.0001448	9.68e-05	8.08e-05	7.44e-05	5.28e-05
392170 [Hemost]	1	0.003464	0.002508	0.0020728	0.001276	0.0013592	0.001212	0.000772	0.0006496	0.0005744	0.0005544
198323 [Sig Transd]	1	0.004288	0.0035016	0.0030336	0.002028	0.0023128	0.0022472	0.0016064	0.0014824	0.0013752	0.0017408
198693 [Sig Transd]	1	0.0058832	0.0051152	0.0046448	0.0031416	0.0038256	0.0034824	0.0024488	0.0021912	0.0020832	0.0025592
211163 [Dev Biol]	1	0.0028624	0.0020576	0.0017376	0.0011848	0.001292	0.0011376	0.0008064	0.0007944	0.0006768	0.0008192
112122 [DNA Repair]	1	0.0041208	0.003404	0.0029664	0.0019728	0.0023264	0.0021808	0.001572	0.0014624	0.0013864	0.0016696
112126 [DNA Repair]	1	0.0048936	0.0046168	0.0046456	0.0028792	0.0043616	0.0043944	0.0027184	0.0026544	0.0026688	0.0042216
4839748 [Disease]	1	0.0027152	0.001924	0.0015272	0.000964	0.0010872	0.0010168	0.0006768	0.0005384	0.000488	0.0006216
163680 [Metab]	1	0.0038312	0.0029704	0.0024584	0.0017144	0.0019536	0.0018744	0.0013584	0.001204	0.0011456	0.0013536
5467333 [Disease]	1	0.0070136	0.0067848	0.0066312	0.004272	0.0062656	0.0062688	0.004016	0.0040784	0.0040504	0.0058128
5467337 [Disease]	1	0.0027176	0.0019272	0.0015304	0.0009656	0.0010904	0.00102	0.0006768	0.0005416	0.0004904	0.0004672
179409 [Cell Cycl]	1	0.0008232	0.0004552	0.0002704	0.0001576	0.000136	8.24e-05	7.12e-05	3.36e-05	3.84e-05	2e-05
174143 [Cell Cycl]	1	0.0006608	0.0002752	0.0001464	7.6e-05	5.44e-05	2.88e-05	2.32e-05	1.36e-05	5.6e-06	3.2e-06
174048 [Cell Cycl]	1	0.0007968	0.000368	0.0002008	0.0001088	6.4e-05	5.36e-05	1.76e-05	1.68e-05	7.2e-06	3.2e-06
174154 [Cell Cycl]	1	0.0009768	0.0004392	0.000296	0.0001648	0.000168	0.000116	6.88e-05	5.68e-05	4e-05	1.76e-05
176409 [Cell Cycl]	1	0.0007168	0.0002984	0.0001776	9.28e-05	7.6e-05	3.6e-05	3.28e-05	1.76e-05	7.2e-06	6.4e-06
174178 [Cell Cycl]	1	0.0008944	0.00044	0.0002968	0.0001816	0.0001608	9.68e-05	7.6e-05	6.08e-05	2.64e-05	2.56e-05
179419 [Cell Cycl]	1	0.000712	0.0003032	0.0001912	0.0001016	9.52e-05	4.24e-05	3.6e-05	2.32e-05	8.8e-06	8e-06
5649702 [DNA Repair]	1	0.0044152	0.0035496	0.002952	0.0018776	0.0023128	0.0021552	0.0015656	0.0014176	0.001336	0.0016072
180689 [Disease]	1	0.0022288	0.0015144	0.0012688	0.0008656	0.0008952	0.000816	0.0006304	0.0005096	0.0004832	0.0005112
5624958 [Org Biog]	1	0.0056112	0.0048752	0.0043248	0.0029248	0.0038568	0.0035744	0.0025832	0.0025536	0.0023784	0.0030688
170984 [Sig Transd]	1	0.0034728	0.0027256	0.0021528	0.0014448	0.0015904	0.0013048	0.0008392	0.000644	0.0004968	0.0003296
380994 [Metab Prot]	1	0.00174	0.0011352	0.0009064	0.000596	0.0006056	0.0005048	0.0003616	0.0003392	0.0002896	0.0002856
381183 [Metab Prot]	1	0.0053128	0.0044984	0.0040144	0.002588	0.0032696	0.0028728	0.0020896	0.0017864	0.0016736	0.0021016
381033 [Metab Prot]	1	0.005024	0.0041352	0.0035784	0.0023256	0.0027688	0.002416	0.0016832	0.0014352	0.0012624	0.0014464
1296025 [Neur Sys]	1	0.0061144	0.0051032	0.0045584	0.003064	0.0036808	0.0032912	0.00228	0.0021392	0.0019608	0.0025528
450408 [Metab RNA]	1	0.0018144	0.0010016	0.0006248	0.0003448	0.0003088	0.0002472	0.000116	7.52e-05	5.44e-05	5.92e-05
8854518 [Cell Cycl]	1	0.0010976	0.0005456	0.0003584	2e-04	0.0001792	0.0001424	1e-04	6.24e-05	5.6e-05	5.44e-05
5467340 [Disease]	1	0.00272	0.001928	0.0015328	0.000968	0.001092	0.001024	0.0006784	0.0005424	0.0004912	0.0002432
4839735 [Disease]	1	0.0027216	0.0019288	0.0015336	0.0009696	0.0010936	0.0010264	0.0006808	0.0005448	0.000492	9.44e-05
2161541 [Metab]	1	0.002	0.001292	0.000988	0.0006544	0.0007432	0.0005888	0.0003968	0.0003944	0.0003448	0.000356
2161517 [Metab]	1	0.0031248	0.0021688	0.001792	0.0011344	0.0012208	0.0010304	0.00074	0.000676	0.0005352	0.0006152
2161522 [Metab]	1	0.0013176	0.0006488	0.0004688	0.0002768	0.0002472	0.0002008	0.0001128	7.28e-05	5.76e-05	5.84e-05
73930 [DNA Repair]	1	0.0059976	0.005352	0.0048424	0.003184	0.0041136	0.003816	0.0025456	0.0024184	0.0021568	0.0027792
2978092 [Disease]	1	0.003124	0.0024248	0.0021552	0.0013304	0.001612	0.0014536	0.0011056	0.0009888	0.0009544	0.0010568
167242 [Disease]	1	0.0012592	0.0006568	0.0003608	0.0002248	0.0002024	0.0001632	0.0001008	7.28e-05	5.04e-05	5.28e-05
156582 [Metab]	1	0.0054208	0.0046552	0.0041632	0.0030008	0.0036576	0.003476	0.002548	0.0024832	0.002376	0.00304
264642 [Neur Sys]	1	0.0032848	0.002116	0.0016296	0.0010256	0.0009944	0.0008128	0.000508	0.000412	0.0003464	0.0003512
181431 [Neur Sys]	1	0.0044224	0.0033072	0.0026088	0.0015792	0.0016248	0.0013512	0.0008704	0.0006736	0.0005104	0.0003488
399997 [Metab]	1	0.0031416	0.0023896	0.0020528	0.0014288	0.0014808	0.0013704	0.0009616	0.0009376	0.0008192	0.0010024
1300645 [Reprod]	1	0.0059632	0.0051888	0.0052472	0.0033632	0.0044288	0.004312	0.003144	0.0028864	0.0027568	0.0038632
2122948 [Sig Transd]	1	0.0055656	0.00482	0.0042296	0.003072	0.003856	0.003588	0.0024856	0.0024424	0.0023424	0.003084
9032845 [Sig Transd]	1	0.0031208	0.0021	0.0016072	0.0009784	0.0011392	0.0009216	0.0006304	0.000584	0.000476	0.0004488
9028731 [Sig Transd]	1	0.0035968	0.0026392	0.0021224	0.0012144	0.0014192	0.0010904	0.0006048	0.0004592	0.000256	0.0001048
9032500 [Sig Transd]	1	0.0023544	0.0015672	0.0012136	0.0007584	0.0008944	0.000748	0.0005168	0.000532	0.0004096	0.0004912
9028335 [Sig Transd]	1	0.0036648	0.0026824	0.0021712	0.0012728	0.0014808	0.0012288	7e-04	0.0005432	0.00042	0.00026
9026527 [Sig Transd]	1	0.0036096	0.002608	0.0020968	0.0012592	0.001452	0.0011792	0.000684	0.0005456	0.0004008	0.0002744
9026519 [Sig Transd]	1	0.003644	0.0026592	0.0021848	0.0012464	0.001496	0.0011736	0.0006544	0.0005488	0.0003496	0.0001936
9603381 [Sig Transd]	1	0.0028904	0.0020152	0.0015088	0.0009712	0.000988	0.0007504	0.0004944	0.0004336	0.0003624	0.0002808
9034793 [Sig Transd]	1	0.0030976	0.0021976	0.0017376	0.0011352	0.0011776	0.000964	0.0006192	0.00056	0.000408	0.0002592
9034864 [Sig Transd]	1	0.0028744	0.001992	0.0015104	0.0009488	0.0009048	0.0006696	0.0004504	0.000364	0.0002512	0.0001824
5625886 [Sig Transd]	1	0.0017928	0.0009856	0.0006288	0.0003208	0.000276	0.000208	0.0001232	8.08e-05	4.56e-05	3.2e-05
2033519 [Disease]	1	0.00428	0.0031648	0.00228	0.0014032	0.0014256	0.0010568	0.000656	0.0004752	0.0002672	0.000112
111452 [Prog Cell Death]	1	0.0061528	0.0055736	0.005196	0.00352	0.0047688	0.004636	0.0031792	0.0031344	0.0029544	0.0039144
165158 [Sig Transd]	1	0.004664	0.0036432	0.0032192	0.0021768	0.0027608	0.0025344	0.0018152	0.0016528	0.00164	0.001968
399710 [Neur Sys]	1	0.005096	0.004096	0.0036776	0.0024224	0.0029264	0.0028536	0.0019792	0.001844	0.0017144	0.0019192
9619483 [Neur Sys]	1	0.0059496	0.0052432	0.0045312	0.002932	0.0037152	0.0035304	0.0022608	0.0021456	0.0018696	0.0023824
176814 [Cell Cycl]	1	0.000688	0.0002736	0.0001496	7.68e-05	5.68e-05	2.72e-05	2.32e-05	1.52e-05	4.8e-06	1.6e-06
176187 [Cell Cycl]	1	0.0008472	0.0003432	0.0001712	8.64e-05	5.68e-05	2.08e-05	2e-05	8.8e-06	1.04e-05	4.8e-06
111447 [Prog Cell Death]	1	0.0053208	0.0046496	0.003964	0.0027	0.0032528	0.0030064	0.002092	0.0019296	0.0018008	0.0021856
114452 [Prog Cell Death]	1	0.004456	0.003576	0.0029248	0.0019032	0.0021496	0.0019472	0.0013256	0.0011704	0.0009672	0.0010728
111446 [Prog Cell Death]	1	0.0048088	0.0038864	0.0034752	0.0022944	0.0028136	0.0026048	0.0018928	0.00186	0.0017584	0.0021584
