feature	a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
age	0	0.0512176452050337	0.0486724773501432	0.0488922278670116	0.0390214164023264	0.0475685832545015	0.0477054821492469	0.0388653916238427	0.0377280248962949	0.0388866418200858	0.045725546355865
sex	0	0.0531631233603778	0.0500259672553125	0.0483785106608417	0.0387466714598583	0.0471473936262325	0.0440980016451425	0.0369896156882803	0.0370474730191011	0.0354033890694073	0.0433525419528264
hcv	0	0.0575415590748468	0.0557952374221499	0.0548760376710823	0.0456918300926255	0.0539232865719749	0.0555187037516714	0.0433128619716597	0.0444763123823171	0.0440285451166756	0.0529711333803977
hbv	0	0.0555528259398735	0.0557157519732083	0.055605906449471	0.0454536640281319	0.0549943409822334	0.0539939102455951	0.0442781476719323	0.0434768428511485	0.0434865770132522	0.051951258906529
hdv	0	0.0556306739061062	0.0533382165853095	0.0536527614431471	0.0443401502121462	0.0522734721691948	0.0518404443959223	0.0424301876159332	0.0417815635255097	0.0424189301517912	0.0504807381619931
164843 [Disease]	0	0.0362989601974774	0.030937192849378	0.0274277835986295	0.0214485517161762	0.0207778240129202	0.0193093750382517	0.0163432813036849	0.0145691164123502	0.0134313550174653	0.0140333119303811
73843 [Metab]	0	0.0482243724666314	0.0466091573394563	0.0451821828950152	0.0378496675069851	0.0430917097667498	0.0429008800956584	0.0356067084734149	0.0346324479554334	0.034260548228256	0.0403111536341548
1971475 [Metab]	0	0.0161273077145634	0.0107263904265045	0.00679736983376266	0.00505855226283212	0.00445344328499065	0.0046296528741087	0.00249782881651149	0.00246560233549117	0.0019999462390624	0.00203954912641068
5619084 [Disease]	0	0.0115437443315474	0.00633478219656067	0.00419467959936725	0.00399963806217743	0.00288425108401076	0.00174349680789053	0.00159996399945099	0.00105828782469255	0.0007999951999664	0.000399999999999999
1369062 [Transp Sm Mol]	0	0.0154848074937034	0.00961936903799012	0.0068677102226124	0.00580902392653327	0.00499502343948821	0.0036873106493811	0.00288416942528228	0.00262281363360141	0.00191824820049561	0.0024978964586121
