label	id	name	class	pathway_size	genes_found_n	genes_found_frac	genes_found	genes_not_found
164843 [Disease]	R-HSA-164843	2-LTR circle formation	Disease	13	7	0.538461538461538	BANF1|HMGA1|LIG4|PSIP1|XRCC4|XRCC5|XRCC6	gag|gag-pol|rev|vif|vpr|vpu
73843 [Metab]	R-HSA-73843	5-Phosphoribose 1-diphosphate biosynthesis	Metab	3	3	1	PRPS1|PRPS1L1|PRPS2	
1971475 [Metab]	R-HSA-1971475	A tetrasaccharide linker sequence is required for GAG synthesis	Metab	26	26	1	AGRN|B3GALT6|B3GAT1|B3GAT2|B3GAT3|B4GALT7|BCAN|BGN|CSPG4|CSPG5|DCN|GPC1|GPC2|GPC3|GPC4|GPC5|GPC6|HSPG2|NCAN|SDC1|SDC2|SDC3|SDC4|VCAN|XYLT1|XYLT2	
5619084 [Disease]	R-HSA-5619084	ABC transporter disorders	Disease	77	76	0.987012987012987	ABCA1|ABCA12|ABCA3|ABCB11|ABCB4|ABCB6|ABCC2|ABCC6|ABCC8|ABCC9|ABCD1|ABCD4|ABCG5|ABCG8|APOA1|CFTR|DERL1|DERL2|DERL3|ERLEC1|ERLIN1|ERLIN2|KCNJ11|OS9|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RNF185|RNF5|RPS27A|SEL1L|SEM1|UBA52|UBB|UBC|VCP	PSMB11
1369062 [Transp Sm Mol]	R-HSA-1369062	ABC transporters in lipid homeostasis	Transp Sm Mol	18	18	1	ABCA10|ABCA12|ABCA2|ABCA3|ABCA5|ABCA6|ABCA7|ABCA9|ABCD1|ABCD2|ABCD3|ABCG1|ABCG4|ABCG5|ABCG8|APOA1|PEX19|PEX3	
382556 [Transp Sm Mol]	R-HSA-382556	ABC-family proteins mediated transport	Transp Sm Mol	103	102	0.990291262135922	ABCA10|ABCA12|ABCA2|ABCA3|ABCA4|ABCA5|ABCA6|ABCA7|ABCA8|ABCA9|ABCB1|ABCB10|ABCB4|ABCB5|ABCB6|ABCB7|ABCB8|ABCB9|ABCC1|ABCC10|ABCC11|ABCC2|ABCC3|ABCC4|ABCC5|ABCC6|ABCC9|ABCD1|ABCD2|ABCD3|ABCF1|ABCG1|ABCG4|ABCG5|ABCG8|APOA1|CFTR|DERL1|DERL2|DERL3|EIF2S1|EIF2S2|EIF2S3|ERLEC1|ERLIN1|ERLIN2|KCNJ11|OS9|PEX19|PEX3|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RNF185|RNF5|RPS27A|SEL1L|SEM1|UBA52|UBB|UBC|VCP	PSMB11
9033807 [Metab]	R-HSA-9033807	ABO blood group biosynthesis	Metab	3	3	1	ABO|FUT1|FUT2	
418592 [Hemost]	R-HSA-418592	ADP signalling through P2Y purinoceptor 1	Hemost	25	23	0.92	GNA11|GNA14|GNA15|GNAQ|GNB1|GNB2|GNB3|GNB4|GNB5|GNG10|GNG11|GNG12|GNG2|GNG3|GNG4|GNG5|GNG7|GNGT1|GNGT2|MAPK14|P2RY1|PLA2G4A|SRC	GNG13|GNG8
392170 [Hemost]	R-HSA-392170	ADP signalling through P2Y purinoceptor 12	Hemost	22	19	0.863636363636364	GNAI1|GNAI2|GNAI3|GNB1|GNB2|GNB3|GNB4|GNB5|GNG10|GNG11|GNG12|GNG2|GNG3|GNG4|GNG5|GNG7|GNGT1|GNGT2|P2RY12	GNAT3|GNG13|GNG8
198323 [Sig Transd]	R-HSA-198323	AKT phosphorylates targets in the cytosol	Sig Transd	14	14	1	AKT1|AKT1S1|AKT2|AKT3|BAD|CASP9|CDKN1A|CDKN1B|CHUK|GSK3A|GSK3B|MDM2|MKRN1|TSC2	
