Driver Gene	22561517_Guichard.txt	22634756_Fujimoto-1.txt	23728943_Cleary.txt	23788652_Kan.txt	24798001_Ahn.txt	25159915_Jhunjhunwala.txt	25362482_Totoki.txt	25526364_Shiraishi.txt	25822088_Schulze.txt	27064257_Fujimoto-2.txt	28622513_TCGA.txt	28648284_TIGER-LC.txt	not reported
TP53	1	1	1	1	1	1	1	1	1	1	1	1	NA
CTNNB1	1	1	1	1	1	1	1	1	1	1	1	1	NA
ALB	0	1	0	0	1	0	0	0	1	1	1	0	NA
GTF2IRD2B	0	0	0	0	0	0	0	0	0	0	0	0	1
RB1	0	0	0	0	1	0	1	1	1	1	1	1	NA
COL11A1	0	0	0	1	0	0	0	0	0	0	0	0	NA
PNRC2	0	0	0	0	0	0	0	0	0	0	0	0	1
AK2	0	0	0	0	0	0	0	0	0	0	0	0	1
SPTA1	0	0	0	0	0	0	0	0	0	0	0	0	1
VPS13A	0	0	0	0	0	0	0	0	0	0	0	0	1
PCLO	0	0	0	0	0	0	0	0	0	0	0	0	1
CSMD2	0	0	0	0	0	0	0	0	0	0	0	0	1
APOB	0	0	0	0	0	0	0	0	1	1	1	1	NA
PCDH7	0	0	0	0	0	0	0	0	0	0	0	0	1
SMC6	0	0	0	0	0	0	0	0	0	0	0	0	1
FKBP9	0	0	0	0	0	0	0	0	0	0	0	0	1
LRP1B	0	0	0	1	0	0	0	0	0	1	0	0	NA
DYNC2H1	0	0	0	0	0	0	0	0	0	0	0	0	1
CSMD3	0	0	0	0	0	0	0	0	0	0	0	1	NA
