plot	gene	annotation	p-value	odds
1	GTF2IRD2B	Age	0.259455232200203	3.35754588081958
2	GTF2IRD2B	Sex	1	0.938392224572266
3	GTF2IRD2B	HCV	0.457963887528637	2.22637537534967
4	GTF2IRD2B	HBV	0.0443016941380908	0.209838308465134
5	GTF2IRD2B	HDV	0.701425332542647	0.546016140605134
6	GTF2IRD2B	Stage	0.0436166209751116	Inf
7	GTF2IRD2B	Tumor Size	0.41406013520331	2.31288673042552
8	GTF2IRD2B	Cirrhosis	0.252935335007886	0.300949582002575
9	GTF2IRD2B	Obesity	0.693904035388643	1.60959145874346
10	GTF2IRD2B	Alcohol	0.579872027953566	0
11	GTF2IRD2B	Smoker	0.418467856576478	0.315651929675508
12	GTF2IRD2B	Fam Hx Liv C	1	0.632794907888199
13	GTF2IRD2B	Albumin	0.534858316662876	1.61814316585537
14	GTF2IRD2B	Bilirubin	1	0
15	GTF2IRD2B	ALT	1	1.53257452107471
16	GTF2IRD2B	AFP	0.442905591350582	2.33025572375578
17	GTF2IRD2B	Multinodular	0.334367246804593	0
18	GTF2IRD2B	Risk Group	0.669427904317184	0.443412110191059
19	GTF2IRD2B	Class MO1	1	0.725666451835409
20	GTF2IRD2B	Class MO2	0.421359407589546	1.82385874812189
21	GTF2IRD2B	Class MO3	0.597954458984868	2.01507458187121
22	GTF2IRD2B	Class MO4	0.426525841450354	0.340694711939343
23	CTNNB1	Age	1	0.845802327456746
24	CTNNB1	Sex	0.247202306889878	2.20556465827713
25	CTNNB1	HCV	0.162900637757349	2.46950948680526
26	CTNNB1	HBV	1	0.903887053459114
27	CTNNB1	HDV	1	1.049261240668
28	CTNNB1	Stage	1	1.32644601792946
29	CTNNB1	Tumor Size	1	1.09345806265525
30	CTNNB1	Cirrhosis	0.746977664483782	1.3029053560787
31	CTNNB1	Obesity	0.0659178818688835	0.268426821311339
32	CTNNB1	Alcohol	1	1.28670382529358
33	CTNNB1	Smoker	0.10758957262301	2.80931668809776
34	CTNNB1	Fam Hx Liv C	1	1.21469463872549
35	CTNNB1	Albumin	0.152413530880982	3.49133128265195
36	CTNNB1	Bilirubin	0.0743859581886277	5.89501732233327
37	CTNNB1	ALT	1	1.2850705096934
38	CTNNB1	AFP	0.752737370657093	0.727996488024236
39	CTNNB1	Multinodular	0.456661142373074	1.79939481859695
40	CTNNB1	Risk Group	0.487764443763315	0.442770635459695
41	CTNNB1	Class MO1	0.0531377630351012	3.53770488561859
42	CTNNB1	Class MO2	0.740679181587149	0.646987057763616
43	CTNNB1	Class MO3	1	0.810258795038774
44	CTNNB1	Class MO4	0.201467359541481	0.331793997447814
45	PCDH7	Age	0.709590287137335	0.567094981018656
46	PCDH7	Sex	0.261209005141516	3.15039669930811
47	PCDH7	HCV	0.707838691150187	0.661900327033267
48	PCDH7	HBV	0.686341987780116	0.670722005562537
49	PCDH7	HDV	1	1.04282586672985
50	PCDH7	Stage	0.407768332296634	2.94890600011482
51	PCDH7	Tumor Size	1	0.69783355754927
52	PCDH7	Cirrhosis	1	0.753780890727622
53	PCDH7	Obesity	1	1.16355735070525
54	PCDH7	Alcohol	1	1.35370888724819
55	PCDH7	Smoker	1	0.975395949872958
56	PCDH7	Fam Hx Liv C	1	0.921211153980488
57	PCDH7	Albumin	0.534858316662876	1.61814316585537
58	PCDH7	Bilirubin	0.41525045523333	2.49755497201203
59	PCDH7	ALT	1	0.973389997434447
60	PCDH7	AFP	0.681829577501054	0.596506134240997
61	PCDH7	Multinodular	0.60938916279551	1.81954422598105
62	PCDH7	Risk Group	0.0752226883358507	4.06531596189092
63	PCDH7	Class MO1	0.693393221494434	1.40396057580814
64	PCDH7	Class MO2	1	0.934312856181222
65	PCDH7	Class MO3	1	0.764877052352048
66	PCDH7	Class MO4	1	0.856194314082162
67	TP53	Age	1	1.14360433240026
68	TP53	Sex	0.43659946571546	0.615474787819728
69	TP53	HCV	0.44088546854656	1.56158085298315
70	TP53	HBV	1	1.07041049965086
71	TP53	HDV	0.79161201252853	0.81810826738164
72	TP53	Stage	1	0.896272298409008
73	TP53	Tumor Size	0.147466573693333	2.58900191247953
74	TP53	Cirrhosis	0.27439462723775	1.94515298307841
75	TP53	Obesity	0.413015067980593	1.66532932206746
76	TP53	Alcohol	0.214132061773432	2.92289946124083
77	TP53	Smoker	0.138171688001587	2.62117422969806
78	TP53	Fam Hx Liv C	0.00477115265375902	7.49183089721489
79	TP53	Albumin	0.654358011324985	0.355104408699515
80	TP53	Bilirubin	1	1.39922706828224
81	TP53	ALT	1	1.20614353175545
82	TP53	AFP	0.238091757450502	2.30884484527542
83	TP53	Multinodular	0.513028459037159	1.55100946438989
84	TP53	Risk Group	0.340261531476508	1.87747740106449
85	TP53	Class MO1	0.243825605504153	2.03630262351655
86	TP53	Class MO2	0.00135517935178591	0
87	TP53	Class MO3	1	1.04393625779353
88	TP53	Class MO4	0.129318435619269	2.57565679931767
89	ALB	Age	1	1
90	ALB	Sex	1	0.936399467784572
91	ALB	HCV	1	1.04107637914463
92	ALB	HBV	0.262143100505342	4.32139478046538
93	ALB	HDV	0.480753952249391	1.88666621778289
94	ALB	Stage	0.225925925925926	0.35907338970361
95	ALB	Tumor Size	0.724899822707814	1.41154606377064
