gene	gene	p-value	odds
CTNNB1	PCDH7	0.0451770451770452	18.2048001831247
CTNNB1	TP53	0.269352869352869	5.60686852927544
CTNNB1	PNRC2	1	0
CTNNB1	APOB	1	0
CTNNB1	GTF2IRD2B	1	0
CTNNB1	RB1	1	0
CTNNB1	PCLO	1	1.63287045637356
CTNNB1	COL11A1	1	0
CTNNB1	CSMD2	0.548717948717949	0
CTNNB1	FKBP9	1	0
CTNNB1	CSMD3	1	0
CTNNB1	LRP1B	1	1.63287045637356
CTNNB1	DYNC2H1	0.382173382173382	3.43559634278671
CTNNB1	AK2	1	0
CTNNB1	VPS13A	1	0
CTNNB1	ALB	1	0
CTNNB1	SMC6	1	0
PCDH7	TP53	0.543345543345543	3.39079520794791
PCDH7	PNRC2	1	0
PCDH7	APOB	0.206349206349206	10.0000351684634
PCDH7	GTF2IRD2B	1	0
PCDH7	RB1	1	0
PCDH7	PCLO	0.0732600732600733	12.4481048809006
PCDH7	COL11A1	0.297924297924298	5.19027840088985
PCDH7	CSMD2	1	0
PCDH7	FKBP9	1	0
PCDH7	CSMD3	1	0
PCDH7	LRP1B	1	0
PCDH7	DYNC2H1	0.297924297924298	5.19027840088985
PCDH7	AK2	1	0
PCDH7	VPS13A	1	0
PCDH7	ALB	1	0
PCDH7	SMC6	1	0
TP53	PNRC2	1	1.57243725398763
TP53	APOB	0.505291005291005	0
TP53	GTF2IRD2B	0.257936507936508	0
TP53	RB1	1	1.63544118727655
TP53	PCLO	0.353072853072853	2.70428203532749
TP53	COL11A1	0.257936507936508	0
TP53	CSMD2	0.174051069703244	4.04869095180555
TP53	FKBP9	0.543345543345543	3.39079520794791
TP53	CSMD3	1	1.57243725398763
TP53	LRP1B	0.353072853072853	2.70428203532749
TP53	DYNC2H1	0.543345543345543	3.39079520794791
TP53	AK2	0.392857142857143	Inf
TP53	VPS13A	0.392857142857143	Inf
TP53	ALB	1	1.57243725398763
TP53	SMC6	0.257936507936508	0
PNRC2	APOB	0.14021164021164	18.0230931983481
PNRC2	GTF2IRD2B	0.206349206349206	10.0000351684634
PNRC2	RB1	0.26984126984127	6.78213777001552
PNRC2	PCLO	1	0
PNRC2	COL11A1	1	0
PNRC2	CSMD2	0.388888888888889	3.92428384790065
PNRC2	FKBP9	0.206349206349206	10.0000351684634
PNRC2	CSMD3	1	0
PNRC2	LRP1B	1	0
PNRC2	DYNC2H1	1	0
PNRC2	AK2	1	0
PNRC2	VPS13A	1	0
PNRC2	ALB	1	0
PNRC2	SMC6	1	0
APOB	GTF2IRD2B	0.206349206349206	10.0000351684634
APOB	RB1	0.26984126984127	6.78213777001552
APOB	PCLO	0.330687830687831	5.03003615898524
APOB	COL11A1	0.206349206349206	10.0000351684634
APOB	CSMD2	1	0
APOB	FKBP9	1	0
APOB	CSMD3	1	0
APOB	LRP1B	1	0
APOB	DYNC2H1	1	0
APOB	AK2	1	0
APOB	VPS13A	1	0
APOB	ALB	1	0
APOB	SMC6	1	0
GTF2IRD2B	RB1	0.382173382173382	3.43559634278669
GTF2IRD2B	PCLO	1	0
GTF2IRD2B	COL11A1	1	0
GTF2IRD2B	CSMD2	0.52991452991453	1.94350812947726
GTF2IRD2B	FKBP9	1	0
GTF2IRD2B	CSMD3	1	0
GTF2IRD2B	LRP1B	1	0
GTF2IRD2B	DYNC2H1	1	0
GTF2IRD2B	AK2	1	0
GTF2IRD2B	VPS13A	1	0
GTF2IRD2B	ALB	1	0
GTF2IRD2B	SMC6	1	0
RB1	PCLO	1	1.63287045637356
RB1	COL11A1	1	0
RB1	CSMD2	0.191452991452991	4.62854730041716
RB1	FKBP9	1	0
RB1	CSMD3	0.26984126984127	6.78213777001554
RB1	LRP1B	1	0
RB1	DYNC2H1	1	0
RB1	AK2	1	0
RB1	VPS13A	1	0
RB1	ALB	1	0
RB1	SMC6	0.382173382173382	3.43559634278671
PCLO	COL11A1	0.459401709401709	2.51384302533684
PCLO	CSMD2	0.285470085470085	3.01109246956284
PCLO	FKBP9	1	0
PCLO	CSMD3	0.330687830687831	5.03003615898522
PCLO	LRP1B	0.549501424501424	0
PCLO	DYNC2H1	0.0732600732600733	12.4481048809005
PCLO	AK2	0.178571428571429	Inf
PCLO	VPS13A	1	0
PCLO	ALB	1	0
PCLO	SMC6	1	0
COL11A1	CSMD2	1	0
COL11A1	FKBP9	0.297924297924298	5.19027840088985
COL11A1	CSMD3	1	0
