gene	gene	p-value	odds
PNRC2	APOB	0.215686274509804	10.9546798421031
PNRC2	GTF2IRD2B	0.111111111111111	Inf
PNRC2	RB1	0.313725490196079	5.91609484984694
PNRC2	PCLO	1	0
PNRC2	COL11A1	1	0
PNRC2	CSMD2	0.405228758169935	3.89444094543484
PNRC2	FKBP9	0.215686274509804	10.9546798421031
PNRC2	TP53	1	1.26772281092051
PNRC2	CTNNB1	1	0
PNRC2	PCDH7	1	0
PNRC2	DYNC2H1	1	0
PNRC2	LRP1B	1	0
PNRC2	AK2	1	0
PNRC2	VPS13A	1	0
PNRC2	ALB	1	0
PNRC2	SMC6	1	0
PNRC2	CSMD3	1	0
APOB	GTF2IRD2B	0.111111111111111	Inf
APOB	RB1	0.313725490196079	5.91609484984694
APOB	PCLO	0.405228758169935	3.89444094543484
APOB	COL11A1	0.215686274509804	10.9546798421031
APOB	CSMD2	1	0
APOB	FKBP9	1	0
APOB	TP53	0.477124183006536	0
APOB	CTNNB1	1	0
APOB	PCDH7	0.215686274509804	10.9546798421031
APOB	DYNC2H1	1	0
APOB	LRP1B	1	0
APOB	AK2	1	0
APOB	VPS13A	1	0
APOB	ALB	1	0
APOB	SMC6	1	0
APOB	CSMD3	1	0
GTF2IRD2B	RB1	0.166666666666667	Inf
GTF2IRD2B	PCLO	1	0
GTF2IRD2B	COL11A1	1	0
GTF2IRD2B	CSMD2	1	0
GTF2IRD2B	FKBP9	1	0
GTF2IRD2B	TP53	1	0
GTF2IRD2B	CTNNB1	1	0
GTF2IRD2B	PCDH7	1	0
GTF2IRD2B	DYNC2H1	1	0
GTF2IRD2B	LRP1B	1	0
GTF2IRD2B	AK2	1	0
GTF2IRD2B	VPS13A	1	0
GTF2IRD2B	ALB	1	0
GTF2IRD2B	SMC6	1	0
GTF2IRD2B	CSMD3	1	0
RB1	PCLO	1	0
RB1	COL11A1	1	0
RB1	CSMD2	1	1.91450294815503
RB1	FKBP9	1	0
RB1	TP53	1	0.588950644398299
RB1	CTNNB1	1	0
RB1	PCDH7	1	0
RB1	DYNC2H1	1	0
RB1	LRP1B	1	0
RB1	AK2	1	0
RB1	VPS13A	1	0
RB1	ALB	1	0
RB1	SMC6	0.313725490196078	5.91609484984694
RB1	CSMD3	1	0
PCLO	COL11A1	0.405228758169935	3.89444094543485
PCLO	CSMD2	1	1.20818630402062
PCLO	FKBP9	1	0
PCLO	TP53	1	1.31198212714415
PCLO	CTNNB1	0.405228758169935	3.89444094543485
PCLO	PCDH7	0.0392156862745098	Inf
PCLO	DYNC2H1	0.0392156862745098	Inf
PCLO	LRP1B	0.524183006535948	0
PCLO	AK2	0.222222222222222	Inf
PCLO	VPS13A	1	0
PCLO	ALB	1	0
PCLO	SMC6	1	0
PCLO	CSMD3	1	0
COL11A1	CSMD2	1	0
COL11A1	FKBP9	1	0
COL11A1	TP53	0.477124183006536	0
COL11A1	CTNNB1	1	0
COL11A1	PCDH7	0.215686274509804	10.9546798421031
COL11A1	DYNC2H1	1	0
COL11A1	LRP1B	1	0
COL11A1	AK2	1	0
COL11A1	VPS13A	1	0
COL11A1	ALB	1	0
COL11A1	SMC6	1	0
COL11A1	CSMD3	1	0
CSMD2	FKBP9	0.405228758169935	3.89444094543485
CSMD2	TP53	0.274509803921569	4.89663678447557
CSMD2	CTNNB1	1	0
CSMD2	PCDH7	1	0
CSMD2	DYNC2H1	0.405228758169935	3.89444094543485
CSMD2	LRP1B	0.524183006535948	0
CSMD2	AK2	0.222222222222222	Inf
CSMD2	VPS13A	1	0
CSMD2	ALB	1	0
CSMD2	SMC6	1	0
CSMD2	CSMD3	1	0
FKBP9	TP53	0.183006535947712	Inf
FKBP9	CTNNB1	1	0
FKBP9	PCDH7	1	0
FKBP9	DYNC2H1	1	0
FKBP9	LRP1B	0.405228758169935	3.89444094543484
FKBP9	AK2	1	0
FKBP9	VPS13A	0.111111111111111	Inf
FKBP9	ALB	1	0
FKBP9	SMC6	1	0
FKBP9	CSMD3	1	0
TP53	CTNNB1	1	1.26772281092051
TP53	PCDH7	1	1.26772281092051
TP53	DYNC2H1	0.183006535947713	Inf
TP53	LRP1B	0.274509803921569	4.89663678447558
TP53	AK2	0.444444444444444	Inf
TP53	VPS13A	0.444444444444444	Inf
TP53	ALB	0.444444444444444	Inf
TP53	SMC6	0.477124183006536	0
TP53	CSMD3	1	0
CTNNB1	PCDH7	0.215686274509804	10.9546798421031
CTNNB1	DYNC2H1	0.215686274509804	10.9546798421031
CTNNB1	LRP1B	0.405228758169935	3.89444094543484
CTNNB1	AK2	1	0
CTNNB1	VPS13A	1	0
CTNNB1	ALB	1	0
CTNNB1	SMC6	1	0
CTNNB1	CSMD3	1	0
PCDH7	DYNC2H1	0.215686274509804	10.9546798421031
PCDH7	LRP1B	1	0
PCDH7	AK2	1	0
PCDH7	VPS13A	1	0
PCDH7	ALB	1	0
PCDH7	SMC6	1	0
PCDH7	CSMD3	1	0
DYNC2H1	LRP1B	1	0
DYNC2H1	AK2	0.111111111111111	Inf
DYNC2H1	VPS13A	1	0
DYNC2H1	ALB	1	0
DYNC2H1	SMC6	1	0
DYNC2H1	CSMD3	1	0
LRP1B	AK2	1	0
LRP1B	VPS13A	0.222222222222222	Inf
LRP1B	ALB	0.222222222222222	Inf
LRP1B	SMC6	1	0
LRP1B	CSMD3	1	0
AK2	VPS13A	1	0
AK2	ALB	1	0
AK2	SMC6	1	0
AK2	CSMD3	1	0
VPS13A	ALB	1	0
VPS13A	SMC6	1	0
VPS13A	CSMD3	1	0
ALB	SMC6	1	0
ALB	CSMD3	1	0
SMC6	CSMD3	0.111111111111111	Inf
