gene	gene	p-value	odds
GTF2IRD2B	CTNNB1	0.673021908217638	0.461351916743973
GTF2IRD2B	PCDH7	1	1.14058321192827
GTF2IRD2B	TP53	0.0947643607299292	0
GTF2IRD2B	ALB	0.589937373838552	0
GTF2IRD2B	SMC6	0.583972826548931	0
GTF2IRD2B	APOB	0.0581607045482734	5.48443677811829
GTF2IRD2B	RB1	0.175244375439108	3.75991046681123
GTF2IRD2B	FKBP9	0.583972826548931	0
GTF2IRD2B	LRP1B	0.583972826548931	0
GTF2IRD2B	DYNC2H1	1	1.14058321192827
GTF2IRD2B	PNRC2	0.132962121876023	4.74413754582318
GTF2IRD2B	PCLO	0.600693114852623	1.97686174805601
GTF2IRD2B	COL11A1	1	0
GTF2IRD2B	CSMD2	1	0.858926506192445
GTF2IRD2B	AK2	1	0
GTF2IRD2B	SPTA1	1	0
GTF2IRD2B	CSMD3	1	1.14058321192827
GTF2IRD2B	VPS13A	0.386945715211988	2.79825369999213
CTNNB1	PCDH7	0.367842355887434	2.27594846888545
CTNNB1	TP53	0.214114610994514	2.2489543439961
CTNNB1	ALB	0.0395165049453953	4.42089359625435
CTNNB1	SMC6	0.673021908217638	0.461351916743969
CTNNB1	APOB	1	0.979865947023505
CTNNB1	RB1	0.184734624489311	2.88777169617746
CTNNB1	FKBP9	1	1.16402041019152
CTNNB1	LRP1B	1	1.16402041019152
CTNNB1	DYNC2H1	1	1.16402041019152
CTNNB1	PNRC2	0.325600816411236	0
CTNNB1	PCLO	0.702013619863421	1.34963178689592
CTNNB1	COL11A1	1	0.548483266273076
CTNNB1	CSMD2	1	0.841294448730873
CTNNB1	AK2	0.216974481158048	3.69560780308478
CTNNB1	SPTA1	1	1.15308944044503
CTNNB1	CSMD3	0.673021908217638	0.461351916743969
CTNNB1	VPS13A	1	1.15308944044503
PCDH7	TP53	0.686341987780116	1.49093065637722
PCDH7	ALB	1	0.858926506192445
PCDH7	SMC6	1	1.14058321192827
PCDH7	APOB	0.0581607045482734	5.48443677811829
PCDH7	RB1	1	0
PCDH7	FKBP9	0.583972826548931	0
PCDH7	LRP1B	0.583972826548931	0
PCDH7	DYNC2H1	0.219949049779245	3.09634059947058
PCDH7	PNRC2	0.132962121876023	4.74413754582318
PCDH7	PCLO	0.101391449965056	4.01100475605883
PCDH7	COL11A1	0.58397282654893	1.35073987368253
PCDH7	CSMD2	0.589937373838552	0
PCDH7	AK2	1	0
PCDH7	SPTA1	0.386945715211988	2.79825369999213
PCDH7	CSMD3	1	1.14058321192827
PCDH7	VPS13A	1	0
TP53	ALB	0.148195143685062	2.7659218363197
TP53	SMC6	0.421475221905547	0.311223217020097
TP53	APOB	0.716214179420105	0.650319470783812
TP53	RB1	0.414505043856217	1.89755425872048
TP53	FKBP9	0.22431875708162	2.66299968589458
TP53	LRP1B	0.0443016941380908	4.76557406183129
TP53	DYNC2H1	0.0443016941380908	4.76557406183129
TP53	PNRC2	1	1.20713974261625
TP53	PCLO	1	0.876598344383245
TP53	COL11A1	1	0.948081140657707
TP53	CSMD2	0.148195143685062	2.7659218363197
TP53	AK2	0.07460105903966	7.89004667609542
TP53	SPTA1	1	0.78592873307136
TP53	CSMD3	0.22431875708162	2.66299968589458
TP53	VPS13A	1	0.78592873307136
ALB	SMC6	0.589937373838552	0
ALB	APOB	0.10811378809885	3.82440075019032
ALB	RB1	0.254431588797367	2.7469491708802
ALB	FKBP9	1	0.858926506192453
ALB	LRP1B	1	0.858926506192453
ALB	DYNC2H1	1	0.858926506192453
ALB	PNRC2	0.584611885187104	0
ALB	PCLO	1	0.570611809172173
ALB	COL11A1	1	1.01825508404068
ALB	CSMD2	1	0.645554479952797
ALB	AK2	1	0
ALB	SPTA1	0.462910455057712	2.11917355342441
ALB	CSMD3	1	0.858926506192453
ALB	VPS13A	1	0
SMC6	APOB	0.583972826548931	0
SMC6	RB1	0.58397282654893	1.35073987368253
SMC6	FKBP9	0.583972826548931	0
SMC6	LRP1B	0.583972826548931	0
SMC6	DYNC2H1	1	1.14058321192827
SMC6	PNRC2	0.525583047818956	1.64336051790767
SMC6	PCLO	0.341883096701544	0
SMC6	COL11A1	0.58397282654893	1.35073987368253
SMC6	CSMD2	0.589937373838552	0
SMC6	AK2	1	0
SMC6	SPTA1	1	0
SMC6	CSMD3	0.0411303524186974	6.64920719041352
SMC6	VPS13A	1	0
APOB	RB1	0.214170894592425	3.18282777661137
APOB	FKBP9	0.58397282654893	0
APOB	LRP1B	0.58397282654893	0
APOB	DYNC2H1	0.0581607045482734	5.4844367781183
APOB	PNRC2	0.0239007535585415	9.27106979377676
APOB	PCLO	0.138364309700924	3.29878887670803
APOB	COL11A1	1	1.16398153736625
APOB	CSMD2	0.340970779383386	0
APOB	AK2	0.42586979678583	2.41731589377849
APOB	SPTA1	0.42586979678583	2.41731589377849
APOB	CSMD3	1	0.982388598718868
APOB	VPS13A	0.42586979678583	2.41731589377849
RB1	FKBP9	1	0
RB1	LRP1B	1	0
RB1	DYNC2H1	1	0
RB1	PNRC2	0.476505432076089	1.94347498633831
RB1	PCLO	0.295498963578364	2.40608566671166
RB1	COL11A1	1	0
RB1	CSMD2	0.0531281177726556	5.86502997582213
RB1	AK2	1	0
RB1	SPTA1	1	0
RB1	CSMD3	0.175244375439108	3.75991046681123
RB1	VPS13A	1	0
FKBP9	LRP1B	0.219949049779245	3.09634059947058
FKBP9	DYNC2H1	1	1.14058321192827
FKBP9	PNRC2	0.525583047818956	1.64336051790767
FKBP9	PCLO	0.341883096701544	0
FKBP9	COL11A1	0.175244375439108	3.75991046681123
FKBP9	CSMD2	1	0.858926506192445
