gene	gene	p-value	odds
CTNNB1	PCDH7	0.0571428571428572	Inf
CTNNB1	TP53	0.142857142857143	Inf
CTNNB1	PNRC2	1	0
CTNNB1	APOB	1	0
CTNNB1	GTF2IRD2B	1	0
CTNNB1	RB1	1	0
CTNNB1	PCLO	1	2.12135735315458
CTNNB1	CSMD2	0.523809523809524	0
CTNNB1	FKBP9	1	0
CTNNB1	CSMD3	1	0
CTNNB1	DYNC2H1	0.257142857142857	8.83176226188441
CTNNB1	AK2	1	0
CTNNB1	COL11A1	1	0
CTNNB1	ALB	1	0
CTNNB1	SMC6	1	0
PCDH7	TP53	1	1.68384878353862
PCDH7	PNRC2	1	1.45760815764584
PCDH7	APOB	0.476190476190476	3.02780669162553
PCDH7	GTF2IRD2B	1	0
PCDH7	RB1	0.516483516483517	0
PCDH7	PCLO	0.56043956043956	2.48238341081786
PCDH7	CSMD2	0.230769230769231	0
PCDH7	FKBP9	1	0
PCDH7	CSMD3	1	1.45760815764584
PCDH7	DYNC2H1	0.476190476190476	3.02780669162553
PCDH7	AK2	1	0
PCDH7	COL11A1	0.476190476190476	3.02780669162553
PCDH7	ALB	1	0
PCDH7	SMC6	1	1.45760815764584
TP53	PNRC2	1	0.716429026423018
TP53	APOB	0.485714285714286	0
TP53	GTF2IRD2B	1	0
TP53	RB1	1	1.68384878353863
TP53	PCLO	0.328671328671329	3.19557155569633
TP53	CSMD2	0.0889110889110889	12.4970629879867
TP53	FKBP9	1	1.54914335617407
TP53	CSMD3	1	0.716429026423018
TP53	DYNC2H1	0.142857142857143	Inf
TP53	AK2	0.4	Inf
TP53	COL11A1	0.485714285714286	0
TP53	ALB	1	0
TP53	SMC6	0.228571428571429	0
PNRC2	APOB	0.371428571428571	4.69046714873977
PNRC2	GTF2IRD2B	0.2	Inf
PNRC2	RB1	1	1.45760815764583
PNRC2	PCLO	0.505494505494505	0
PNRC2	CSMD2	1	1
PNRC2	FKBP9	0.371428571428571	4.69046714873977
PNRC2	CSMD3	0.516483516483516	2.32630747961411
PNRC2	DYNC2H1	1	0
PNRC2	AK2	1	0
PNRC2	COL11A1	1	0
PNRC2	ALB	1	0
PNRC2	SMC6	0.516483516483516	2.32630747961411
APOB	GTF2IRD2B	0.133333333333333	Inf
APOB	RB1	0.476190476190476	3.02780669162553
APOB	PCLO	1	2.12135735315458
APOB	CSMD2	0.523809523809524	0
APOB	FKBP9	1	0
APOB	CSMD3	1	0
APOB	DYNC2H1	1	0
APOB	AK2	1	0
APOB	COL11A1	0.257142857142857	8.83176226188441
APOB	ALB	1	0
APOB	SMC6	1	0
GTF2IRD2B	RB1	0.266666666666667	Inf
GTF2IRD2B	PCLO	1	0
GTF2IRD2B	CSMD2	1	0
GTF2IRD2B	FKBP9	1	0
GTF2IRD2B	CSMD3	1	0
GTF2IRD2B	DYNC2H1	1	0
GTF2IRD2B	AK2	1	0
GTF2IRD2B	COL11A1	1	0
GTF2IRD2B	ALB	1	0
GTF2IRD2B	SMC6	1	0
RB1	PCLO	1	0.60370085335159
RB1	CSMD2	0.56043956043956	2.48238341081786
RB1	FKBP9	1	0
RB1	CSMD3	1	1.45760815764584
RB1	DYNC2H1	1	0
RB1	AK2	1	0
RB1	COL11A1	1	0
RB1	ALB	1	0
RB1	SMC6	1	1.45760815764584
PCLO	CSMD2	1	1.50912776202575
PCLO	FKBP9	0.523809523809524	0
PCLO	CSMD3	1	1
PCLO	DYNC2H1	0.0952380952380952	Inf
PCLO	AK2	0.333333333333333	Inf
PCLO	COL11A1	1	2.12135735315459
PCLO	ALB	1	0
PCLO	SMC6	0.505494505494505	0
CSMD2	FKBP9	1	2.12135735315459
CSMD2	CSMD3	1	1
CSMD2	DYNC2H1	1	2.12135735315459
CSMD2	AK2	0.333333333333333	Inf
CSMD2	COL11A1	0.523809523809524	0
CSMD2	ALB	1	0
CSMD2	SMC6	0.505494505494505	0
FKBP9	CSMD3	1	0
FKBP9	DYNC2H1	1	0
FKBP9	AK2	1	0
FKBP9	COL11A1	0.257142857142857	8.83176226188441
FKBP9	ALB	0.133333333333333	Inf
FKBP9	SMC6	1	0
CSMD3	DYNC2H1	1	0
CSMD3	AK2	1	0
CSMD3	COL11A1	1	0
CSMD3	ALB	1	0
CSMD3	SMC6	0.0813186813186813	15.07288934159
DYNC2H1	AK2	0.133333333333333	Inf
DYNC2H1	COL11A1	1	0
DYNC2H1	ALB	1	0
DYNC2H1	SMC6	1	0
AK2	COL11A1	1	0
AK2	ALB	1	0
AK2	SMC6	1	0
COL11A1	ALB	0.133333333333333	Inf
COL11A1	SMC6	1	0
ALB	SMC6	1	0
