gene	gene	p-value	odds
GTF2IRD2B	CTNNB1	0.659606845513414	0.436742372178165
GTF2IRD2B	ALB	0.324761223974915	0
GTF2IRD2B	APOB	0.250140242119891	2.95283014659067
GTF2IRD2B	RB1	0.370357142857143	3.29902591232007
GTF2IRD2B	TP53	0.167927844588344	0
GTF2IRD2B	FKBP9	1	0
GTF2IRD2B	COL11A1	1	0
GTF2IRD2B	AK2	1	0
GTF2IRD2B	SPTA1	1	0
GTF2IRD2B	CSMD3	0.545678604466764	1.60699289871336
GTF2IRD2B	VPS13A	0.464133738601824	2.17795712373143
GTF2IRD2B	CSMD2	0.464133738601824	2.17795712373143
GTF2IRD2B	SMC6	1	0
GTF2IRD2B	PCLO	0.192317519052024	3.75376759431005
GTF2IRD2B	DYNC2H1	0.464133738601824	2.17795712373143
GTF2IRD2B	LRP1B	0.575966697502313	0
GTF2IRD2B	PCDH7	0.464133738601824	2.17795712373143
GTF2IRD2B	PNRC2	0.370357142857143	3.29902591232007
CTNNB1	ALB	0.039723431915201	4.94591969687732
CTNNB1	APOB	1	1.16000073130185
CTNNB1	RB1	0.0145918367346939	Inf
CTNNB1	TP53	0.719263164893543	1.37346752098673
CTNNB1	FKBP9	0.274620060790274	3.09439634941715
CTNNB1	COL11A1	1	0.692267100275316
CTNNB1	AK2	0.161836734693878	6.24309407399517
CTNNB1	SPTA1	1	0.945512269292891
CTNNB1	CSMD3	1	0.692267100275316
CTNNB1	VPS13A	1	0.945512269292891
CTNNB1	CSMD2	1	0.945512269292891
CTNNB1	SMC6	1	0.945512269292891
CTNNB1	PCLO	0.643397647680719	1.48699759651579
CTNNB1	DYNC2H1	0.561398176291793	0
CTNNB1	LRP1B	1	0.539264686062713
CTNNB1	PCDH7	1	0.945512269292891
CTNNB1	PNRC2	0.558265306122449	0
ALB	APOB	0.0996816319665534	4.43415285107683
ALB	RB1	0.0795918367346939	10.5793156281265
ALB	TP53	0.039723431915201	4.94591969687733
ALB	FKBP9	1	0
ALB	COL11A1	0.569828578980158	0
ALB	AK2	1	0
