gene	freq	panel
TP53	0.295774647887324	top
CTNNB1	0.225352112676056	top
ALB	0.140845070422535	top
GTF2IRD2B	0.112676056338028	top
RB1	0.0985915492957746	top
COL11A1	0.0985915492957746	top
PNRC2	0.0845070422535211	top
AK2	0.0563380281690141	top
SPTA1	0.0563380281690141	top
VPS13A	0.0563380281690141	top
PCLO	0.154929577464789	bottom
CSMD2	0.140845070422535	bottom
APOB	0.126760563380282	bottom
PCDH7	0.112676056338028	bottom
SMC6	0.112676056338028	bottom
FKBP9	0.112676056338028	bottom
LRP1B	0.112676056338028	bottom
DYNC2H1	0.112676056338028	bottom
CSMD3	0.112676056338028	bottom
