gene	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM	Unknown
TP53	0.184782608695652	0.467153284671533	0.324509803921569	0.0726643598615917	0.0277777777777778	0.52970297029703	0.135135135135135	0.777173913043478	0.309278350515464	0.686390532544379	0.318181818181818	0.032520325203252	0.0249110320284698	0.0656934306569343	0.466666666666667	0.300275482093664	0.480544747081712	0.810309278350515	0.170731707317073	0.875912408759124	0.605714285714286	0.00561797752808989	0.0991902834008097	0.718120805369127	0.313559322033898	0.141630901287554	0.447488584474886	0.0078125	0.00407331975560081	0.024390243902439	0.347169811320755	0.87719298245614	0	0.454545454545455
CTNNB1	0.152173913043478	0.0340632603406326	0.000980392156862745	0.0173010380622837	0	0.0693069306930693	0	0.0271739130434783	0.00257731958762887	0.00986193293885602	0.0151515151515152	0.002710027100271	0.00711743772241993	0	0.00588235294117647	0.261707988980716	0.0389105058365759	0.0103092783505155	0	0.0024330900243309	0.0228571428571429	0	0.0222672064777328	0.0469798657718121	0.00423728813559322	0.0665236051502146	0.0570776255707763	0	0.00203665987780041	0	0.243396226415094	0	0	0.012987012987013
ALB	0	0.0218978102189781	0.00392156862745098	0.00346020761245675	0.0833333333333333	0.0198019801980198	0	0.00543478260869565	0.0077319587628866	0.019723865877712	0	0.010840108401084	0	0	0.00392156862745098	0.126721763085399	0.0155642023346304	0.0247422680412371	0	0.0170316301703163	0.00571428571428571	0	0	0.0268456375838926	0	0.0729613733905579	0.0091324200913242	0	0.00203665987780041	0	0.0584905660377358	0.0175438596491228	0	0.012987012987013
GTF2IRD2B	0	0.0097323600973236	0.00490196078431373	0	0	0.0173267326732673	0	0	0.00257731958762887	0	0	0.002710027100271	0.00355871886120996	0	0	0.00550964187327824	0.00194552529182879	0.00824742268041237	0	0.0072992700729927	0.00571428571428571	0	0	0.00671140939597315	0	0.00858369098712446	0.0114155251141553	0	0	0	0.0415094339622641	0	0	0
RB1	0.0217391304347826	0.172749391727494	0.0215686274509804	0.0588235294117647	0	0.0297029702970297	0	0.0271739130434783	0.095360824742268	0.029585798816568	0.0303030303030303	0.00542005420054201	0	0	0.0117647058823529	0.0495867768595041	0.0525291828793774	0.065979381443299	0.0121951219512195	0.0364963503649635	0.00571428571428571	0	0.00607287449392713	0.0268456375838926	0.0889830508474576	0.0450643776824034	0.0342465753424658	0	0.00407331975560081	0	0.124528301886792	0.087719298245614	0	0.0779220779220779
COL11A1	0.0108695652173913	0.0656934306569343	0.0156862745098039	0.041522491349481	0	0.108910891089109	0.0540540540540541	0.0760869565217391	0.0206185567010309	0.0887573964497041	0	0.021680216802168	0.0177935943060498	0	0.00784313725490196	0.0523415977961433	0.196498054474708	0.162886597938144	0	0.0340632603406326	0.0285714285714286	0.00561797752808989	0.0263157894736842	0.0536912751677852	0.0127118644067797	0.240343347639485	0.089041095890411	0.0078125	0.00407331975560081	0.00813008130081301	0.145283018867925	0.0526315789473684	0	0.168831168831169
PNRC2	0	0	0	0	0	0	0	0	0	0	0	0.002710027100271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK2	0	0.0048661800486618	0	0.00346020761245675	0	0	0	0	0.00257731958762887	0.0019723865877712	0	0.002710027100271	0	0	0	0.00275482093663912	0.00389105058365759	0.00206185567010309	0.0121951219512195	0.0024330900243309	0.00571428571428571	0	0.00202429149797571	0.00671140939597315	0	0.00858369098712446	0	0	0	0	0.0113207547169811	0	0	0
VPS13A	0.0326086956521739	0.0340632603406326	0.0205882352941176	0.0449826989619377	0	0.0742574257425743	0	0.016304347826087	0.0103092783505155	0.0374753451676529	0	0.00813008130081301	0.0177935943060498	0.0072992700729927	0.0137254901960784	0.0220385674931129	0.0466926070038911	0.0515463917525773	0.0121951219512195	0.0097323600973236	0.0114285714285714	0	0.00202429149797571	0.0335570469798658	0.0296610169491525	0.124463519313305	0.0844748858447489	0	0.00203665987780041	0	0.135849056603774	0	0	0.012987012987013
SPTA1	0.0434782608695652	0.097323600973236	0.0509803921568627	0.0519031141868512	0.0277777777777778	0.141089108910891	0.027027027027027	0.108695652173913	0.0927835051546392	0.0591715976331361	0.0151515151515152	0.021680216802168	0.0213523131672598	0.0072992700729927	0.0117647058823529	0.0606060606060606	0.247081712062257	0.204123711340206	0.024390243902439	0.0340632603406326	0.0228571428571429	0.00561797752808989	0.0445344129554656	0.100671140939597	0.0127118644067797	0.272532188841202	0.178082191780822	0.0078125	0.0162932790224033	0.016260162601626	0.167924528301887	0.0526315789473684	0.025	0.168831168831169
PCLO	0.0108695652173913	0.0948905109489051	0.0362745098039216	0.0865051903114187	0.0555555555555556	0.183168316831683	0.162162162162162	0.141304347826087	0.0695876288659794	0.14792899408284	0.0303030303030303	0.037940379403794	0.0391459074733096	0.0437956204379562	0.0372549019607843	0.107438016528926	0.184824902723735	0.17319587628866	0.024390243902439	0.0291970802919708	0.0285714285714286	0.00561797752808989	0.0202429149797571	0.0738255033557047	0.0677966101694915	0.469957081545064	0.194063926940639	0.03125	0.00203665987780041	0.032520325203252	0.188679245283019	0.0526315789473684	0	0.168831168831169
CSMD2	0.0108695652173913	0.0656934306569343	0.0333333333333333	0.0242214532871972	0.0277777777777778	0.141089108910891	0	0.0434782608695652	0.0257731958762887	0.0473372781065089	0.0303030303030303	0.016260162601626	0.0320284697508897	0.0072992700729927	0.00980392156862745	0.0358126721763085	0.143968871595331	0.14020618556701	0	0.0316301703163017	0.04	0	0.0161943319838057	0.0604026845637584	0.0211864406779661	0.371244635193133	0.102739726027397	0.015625	0.010183299389002	0.016260162601626	0.154716981132075	0.0526315789473684	0	0.051948051948052
