gene	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM	Unknown
TP53	0	0.998998793578652	0.65290083328016	0	2.17870737419836e-07	0.99998928996753	0.00207050339840172	1	0.54729321021219	0.999999999999751	1	0	0	0	0.998743937554815	0.474563468694657	0.999460249380485	1	0	1	0.999999999996847	0	3.37771435265921e-08	1	0.589357843007513	4.92429702827479e-05	0.996666783712635	0	0	0	0.799659930793083	1	0	1
CTNNB1	0	0	0	0	1.26810540567142e-06	1.13717806282665e-07	6.88400077364488e-07	0	0	0	0	0	0	0	0	0.731413865231003	3.24851257005321e-13	0	0	0	0	0	0	0	0	1.03257494110665e-07	2.40018038777379e-09	0	0	0	0.584732222955068	0	0	0
ALB	0	0	0	0	0.141998449037961	0	0.000283988159978691	0	0	0	0	0	0	0	0	0.26870338682568	0	3.47980999571007e-09	0	0	0	0	0	0	0	0.00733507651685383	0	0	0	0	0.00108263300463796	2.49308020657862e-07	0	0
GTF2IRD2B	0	0	0	0	0.00221219494875709	0	0.00170655038904118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000996448362546198	2.82260037301336e-07	0	0
RB1	0	0.955333250978026	5.42041543971639e-05	0.032089292921045	0.00505644559715905	0.000174320964813512	0.00404515647772724	0	0.359459352020825	0.000290396427873096	1.61291449886478e-06	0	0	0	0	0.0121016930287877	0.0222647523518122	0.0785841471862134	0	0.00127377990014077	0	0	0	0	0.272197421876174	0.00765334814190344	0.000818107182876782	0	0	0	0.688149611773631	0.419184327632397	0	0
COL11A1	0	0.0735607490068177	3.07099293528346e-06	0.00197819240261499	0.00505644559715905	0.524501993115675	0.180811520146688	0.116391954635241	8.98084910216923e-07	0.284217239084119	0	1.34708711740927e-06	0	0	0	0.0176163435800614	0.985381571162072	0.926351939561121	0	0.000690359528815909	0	0	8.93316680756762e-05	0.00213773274930484	0	0.998968196352006	0.285726709905217	0	0	0	0.846451755972267	0.0245576985215488	0	0.999992762357579
PNRC2	0	0	0	0	0.0113334125453565	0	0.00939054182329538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09678884852421e-05	0	0
AK2	0	0	0	0	0.0538885486834048	0	0.0477298574053014	0	0	0	5.1459653059019e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000204511237315241	0.00103022225424156	0	0
VPS13A	0	0.074936774165993	0.0120012825986502	0.190657515586292	0.0538885486834048	0.63413592085824	0.0477298574053014	0	0	0.111840734794239	5.1459653059019e-06	0	0.000924264080316872	0	0.000770260978844473	0.00866631722734956	0.226306102225883	0.296479417419017	0	0	0	0	0	0.0227668537800959	0.0271961359677236	0.962538678913936	0.749768022722224	0	0	0	0.979296316361194	0.00103022225424156	0	0
SPTA1	0	0.857368621438289	0.292147579717888	0.296000386506457	0.296387017758726	0.986426034209572	0.275601434695127	0.944899588702714	0.826689989558254	0.413467872156968	0.000684413385684955	0.00805198786669636	0.00444048612500025	0	0.000246917251470968	0.436857352593676	0.999991791051975	0.99977972135588	0	0.074936774165993	0	0	0.196190580104476	0.927026335544189	0	0.999999183946439	0.998701037207669	0	0.0021841951698246	0	0.997092582562452	0.593458448903137	0	1
