Hugo_Symbol	reason	frac
TP53	Driver Gene, q < 0.1	0.295774647887324
CTNNB1	Driver Gene, q < 0.1	0.225352112676056
ALB	Driver Gene, q < 0.1	0.140845070422535
GTF2IRD2B	Driver Gene, q < 0.1	0.112676056338028
RB1	Driver Gene, q < 0.1	0.0985915492957746
COL11A1	Driver Gene, q < 0.1	0.0985915492957746
PNRC2	Driver Gene, q < 0.1	0.0845070422535211
AK2	Driver Gene, q < 0.1	0.0563380281690141
VPS13A	Driver Gene, q < 0.1	0.0563380281690141
SPTA1	Driver Gene, q < 0.1	0.0563380281690141
PCLO	Cohort Freq > 0.1	0.154929577464789
CSMD2	Cohort Freq > 0.1	0.140845070422535
APOB	Cohort Freq > 0.1	0.126760563380282
SMC6	Cohort Freq > 0.1	0.112676056338028
CSMD3	Cohort Freq > 0.1	0.112676056338028
DYNC2H1	Cohort Freq > 0.1	0.112676056338028
FKBP9	Cohort Freq > 0.1	0.112676056338028
LRP1B	Cohort Freq > 0.1	0.112676056338028
PCDH7	Cohort Freq > 0.1	0.112676056338028
